Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes;
I-1538-MN-0690;1538 Monte Nuovo Eruption;Fer, Nicolas de ;View of the bay of Pozzuoli;1701;;Engraving;290 x 425 mm;;Fer, Nicolas de ;;L'Atlas curieux ou le Monde réprésenté dans des cartes générales et particuliéres du ciel et de la terre divisé tant en ses quatre principales parties que par états et provinces et orné par des plans et descriptions des villes capitales et principales;;Paris;Paris, Bibliothèque Nationale de France GE DD-2987 (5585);Les Merveilles de Pozzoli ou Pouzzol Cume et Baia ou Bayes. Dans le Voisinage de Naples;"https://gallica.bnf.fr/ark:/12148/btv1b530426241?rk=21459;2";;;
I-1541-GU-0223;1541 Guatemala Earthquake;Unknown;City View from the Sea with a Pilgrim;1542;;Woodcut;;P-1541-GU-0008 / 1541 Guatemala Earthquake / Relación cierta y verdadera sacada y trasladada de una carta que a esta ciudad de Sevilla fue embiada sobre la terrible y tempestuosa tormenta que sucedió en la cibdad de Guatimala sábado dos oras después de anochecido a diez días del mes de setiembre del año passado de mil y quinientos y quarenta y uno (This document is included in);Unknown;;Relación cierta y verdadera sacada y trasladada de una carta que a esta ciudad de Sevilla fue embiada sobre la terrible y tempestuosa tormenta que sucedió en la cibdad de Guatimala sábado dos oras después de anochecido a diez días del mes de setiembre del año passado de mil y quinientos y quarenta y uno;Unknown;Seville;Los Angeles, UCLA Library SRLF F1476.G92 R45 1543a;;https://ucla.on.worldcat.org/oclc/21027285;;;
I-1542-ES-06AB;1542 Sicily Earthquake;Unknown;Epigraph commemorating the reconstruction of the bell tower of Syracuse Cathedral destroyed in the 1542 earthquake;1542;;Epigraph;;;;;;;;;TERREMOTU DIRUTUM / CAROLO V CAES HIERONIMO / BONONIO PANORMITA / ANTISTITE S.P.Q.S. POST / TRIENNIUM INSTA(URAVIT) MDXXXXV;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;
I-1542-ES-0AB5;1542 Sicily Earthquake;Unknown;A city under siege;1542;;Woodcut;;"P-1542-ES-069B / 1542 Sicily Earthquake / Copia de una lettra che contiene li spaventosi &amp; horrendi terremoti venuti ne la isola di / Sicilia &amp; la gran rovina &amp; strage che han fatto in quella con danno grandissimo de paesani. / Questo terremoto fu adì XVII decembrio MDXLII (This document is included in)";Unknown;Unknown;"Copia de una lettra che contiene li spaventosi &amp; horrendi terremoti venuti ne la isola di
Sicilia &amp; la gran rovina &amp; strage che han fatto in quella con danno grandissimo de paesani.
Questo terremoto fu adì XVII decembrio MDXLII";Unknown;;Venice, Biblioteca Nazionale Marciana MISC 2230.        029;;;;;
I-1557-PA-0224;1557 Palermo Flood;Unknown;City View;1557;;Woodcut;;"P-1557-PA-000B / 1557 Palermo Flood / Nuovo aviso del più horrendo, et miserabil diluvio, che sia in memoria d’huomo occorso; avvenuto a li XXV di settembre M DL VII in Sicilia, et particolarmente ne la città di Palermo (This document is included in)";Dorico, Valerio;Unknown;"Nuovo aviso del più horrendo, et miserabil diluvio, che sia in memoria d’huomo occorso; avvenuto a li XXV di settembre M DL VII in Sicilia, et particolarmente ne la città di Palermo";Dorico, Valerio;Rome;Rome, Biblioteca Casanatense VOL MISC.1927 16;;https://books.google.fr/books?vid=IBCR:BC000021623&redir_esc=y;;;
I-1589-CO-0517;1589 Cordova Flood;Unknown;View of flooded city;1589;;Woodcut;;P-1589-CO-05FF / 1589 Cordova Flood / Famoso romance que trata la gran tempestad y terremoto que hubo en la ciudad de Córdoba a los veinte y uno de setiembre año de mill y quinientos y ochenta y nueve, día del glorioso apóstol San Matheo. Compuesto por Amaro Centeno estante en la misma ciudad y natural de Senabria de la Montaña de León (This document is included in);Centeno, Amaro;;Famoso romance que trata la gran tempestad y terremoto que hubo en la ciudad de Córdoba a los veinte y uno de setiembre año de mill y quinientos y ochenta y nueve, día del glorioso apóstol San Matheo. Compuesto por Amaro Centeno estante en la misma ciudad y natural de Senabria de la Montaña de León;Galván, Diego;Cordoba;Madrid, Biblioteca Nacional de España VE/1426/12;;http://bdh-rd.bne.es/viewer.vm?id=0000257736&page=1;;;
I-1589-PA-0227;1589 Pastrana Flood;Unknown;"T and O map (Orbis Terrarum); Lamentation of Christ";1589;;Woodcut;;P-1589-PA-0010 / 1589 Pastrana Flood / Relación muy verdadera del diluvio y gran daño que vino en la villa de Pastrana día del glorioso y bienaventurado San Augustín, lunes veinte y ocho de agosto, deste presente año de mil y quinientos y ochenta y nueve, compuestas por el licenciado Marco Antonio Ramírez (This document is included in);Ramírez, Marco Antonio;;Relación muy verdadera del diluvio y gran daño que vino en la villa de Pastrana día del glorioso y bienaventurado San Augustín, lunes veinte y ocho de agosto, deste presente año de mil y quinientos y ochenta y nueve, compuestas por el licenciado Marco Antonio Ramírez;Fernández, Diego;Valladolid;Madrid, Biblioteca Nacional de España R/35407;;;;;
I-1597-VA-0228;1597 Valladolid Flood;Unknown;Crucifixion;1597;;Woodcut;;P-1597-VA-0013 / 1597 Valladolid Flood / Relación verdadera de los daños que hizo la creciente del río Pisuerga, en la ciudad de Valladolid. Compuesto por Francisco Hurtado Pinciano. Con dos romances del sucesso de Salamaca, y çamora. Con licencia del señor corregidor (This document is included in);Pinciano Hurtado, Francisco;;Relación verdadera de los daños que hizo la creciente del río Pisuerga, en la ciudad de Valladolid. Compuesto por Francisco Hurtado Pinciano. Con dos romances del sucesso de Salamaca, y çamora. Con licencia del señor corregidor;Junta, Felipe  de;Burgos;Madrid, Biblioteca Nacional de España R/4459;;;;;
I-1600-HU-022A;1600 Huaynaputina Eruption;Carvajal, Jacinto (with his workshop);Public Prayer to the Virgen de Cayma during the 1600 Earthquake;1780;;Oil on canvas;;;;;;;;;;http://52.183.37.55/artworks?author_show=388;;;
I-1600-HU-0653;1600 Huaynaputina Eruption;Unknown;The city of Arica buried by the ashes of Huaynaputina after the eruption of 1600;1615;;Drawing on paper;;M-1600-HU-064F / 1600 Huaynaputina Eruption / Nueva corónica y buen gobierno. In volume 2, p. 416, the chronicler refers to the destruction of Arequipa by the eruption of the Huaynaputina volcano as a result of divine punishment. The people who managed to save themselves did so thanks to their prayers addressed to the Virgin, the saints and the angels. According to Poma de Ayala, Arequipa was devastated by fire, but in one of the images of that city and Arica that his work includes (volume 2, pp. 397 and 399) , he also refers to the ash that for days prevented seeing the sky in both cities. (This document is included in);;;;;;;Ciudad / La Villa de Arica / tanbién fue cubierto de seniza del bolcán toda la cordellera de la mar;http://www5.kb.dk/permalink/2006/poma/1063/es/image/?open=idm1095;;;
I-1600-HU-0656;1600 Huaynaputina Eruption;Unknown;The city of Arequipa buried by the ashes of Huaynaputina after the eruption of 1600;1615;;;;M-1600-HU-064F / 1600 Huaynaputina Eruption / Nueva corónica y buen gobierno. In volume 2, p. 416, the chronicler refers to the destruction of Arequipa by the eruption of the Huaynaputina volcano as a result of divine punishment. The people who managed to save themselves did so thanks to their prayers addressed to the Virgin, the saints and the angels. According to Poma de Ayala, Arequipa was devastated by fire, but in one of the images of that city and Arica that his work includes (volume 2, pp. 397 and 399) , he also refers to the ash that for days prevented seeing the sky in both cities. (This document is included in);;;;;;;"Ciudad / La Ciudad de Arequipa / Rebentó el bolcán y cubrió de zeníza y arena la ciudad y su juridición, comarca; treynta días no se bido el sol ni luna, estrellas. Con la ayuda de Dios y de la uirgen Santa María sesó, aplacó";http://www5.kb.dk/permalink/2006/poma/1061/es/image?open=idm1095;;;
I-1600-HU-0A0B;1600 Huaynaputina Eruption;Unknown;St Gennaro;1600;;Oil on canvas;183 x 148.5 cm;;;;;;;;S. Januarius;https://arca.uniandes.edu.co/obras/4562;;;
I-1603-SE-022B;1603 Seville Flood;Unknown;City View;1603;;Woodcut;;P-1603-SE-0015 / 1603 Seville Flood / Andeluvio y ruina que hizo el río Guadalquivir, en la ciudad de Sevilla, y Triana, y otros pueblos comarcanos, en veinte de diziembre deste año de mil y seiscientos y tres. Donde se da cuenta del mucho mal que hizo, derribando casas, ahogando gentes, echando a perder mucha suma de mercaderías, hundiendo navíos de trigo, y otras cosas, y las grandes prevenciones que su señoría el assistente, y sus justicias, hicieron para reparar los daños que hacía a la ciudad, juntamente con los señores veintiquatros de la dicha ciudad (This document is included in);Mesa, Tomás de;;Andeluvio y ruina que hizo el río Guadalquivir, en la ciudad de Sevilla, y Triana, y otros pueblos comarcanos, en veinte de diziembre deste año de mil y seiscientos y tres. Donde se da cuenta del mucho mal que hizo, derribando casas, ahogando gentes, echando a perder mucha suma de mercaderías, hundiendo navíos de trigo, y otras cosas, y las grandes prevenciones que su señoría el assistente, y sus justicias, hicieron para reparar los daños que hacía a la ciudad, juntamente con los señores veintiquatros de la dicha ciudad;Lara, Fernando de;Seville;Madrid, Biblioteca Nacional de España VE/1428/1;;;;;
I-1603-SE-022C;1603 Seville Flood;Unknown;View of Fortified City;1604;;Woodcut;;P-1603-SE-0016 / 1603 Seville Flood / Cuarta relación de el avenida del río de Sevilla. Compuesto en octavas muy curiosas por Blas de las Casas vecino de Sevilla (This document is included in);de las Casas Alés, Blas;Avellaneda, Bernardino, don;"Cuarta relación de el avenida del río de Sevilla. Compuesto en octavas muy curiosas por Blas de las Casas&nbsp;vecino de Sevilla";Pérez, Francisco;Seville;Library of the Duque de T’Serclaes n.º 7;;;;;
I-1608-SE-022D;1608 Seville Flood;Unknown;"General Figures; St Benedict";1608;;Woodcut;;"P-1608-SE-0018 / 1608 Seville Flood / Relación muy verdadera de la tempestad, huracanes y temblores de tierra que succedieron en la ciudad de Sevilla día de señor san Benito, que se contaron veynte y uno de março deste año de 1608, compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatrava por su Magestad, estante este día en Sevilla; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo día acaeció (This document is included in)";Brizuela Corcuera, Diego;;"Relación muy verdadera de la tempestad, huracanes y temblores de tierra que succedieron en la ciudad de Sevilla día de señor san Benito, que se contaron veynte y uno de março deste año de 1608, compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatrava por su Magestad, estante este día en Sevilla; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo día acaeció";Clavijo, Mathias;Seville;Madrid, Biblioteca Nacional de España VE/1492/1;;;;;
I-1608-SE-022E;1608 Seville Flood;Unknown;"Emblem; Conversion of Paul the Apostle";1609;;Woodcut;;"P-1608-SE-0019 / 1608 Seville Flood / Relazione della gran tempesta e diluvio d’acqua, grandini, pietre e saette di fuoco che vennero sopra la città di Siviglia a 22 di marzo di questo anno 1609, dove si tratta della morte di molte persone &amp; le molte disgrazie che succedettero in questa occasione. Tradotta novamente dalla lingua spagnola all’italiana (This document is included in)";Unknown;;"Relazione della gran tempesta e diluvio d’acqua, grandini, pietre e saette di fuoco che vennero sopra la città di Siviglia a 22 di marzo di questo anno 1609, dove si tratta della morte di molte persone &amp; le molte disgrazie che succedettero in questa occasione. Tradotta novamente dalla lingua spagnola all’italiana";Pasquato, Lorenzo;Padua;Berlin, Staatsbibliothek Mz 7032 R;;http://stabikat.de/DB=1/LNG=EN/CLK?IKT=12&TRM=445428880;;;
I-1608-SE-0510;1608 Seville Flood;Unknown;The Annunciation;1608;;Woodcut;;"P-1608-SE-096A / 1608 Seville Flood / Relacion muy verdadera de la tempestad, huracanes, y temblores de tierra que succedieron en esta ciudad de Seuilla dia del señor san Benito, que se contaron veynte y uno de Março deste año de 1608. Compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatraua por su Magestad, estante este dia en Seuilla ; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo dia acaecio. (This document is included in)";Brizuela Corcuera, Diego;;"Relacion muy verdadera de la tempestad, huracanes, y temblores de tierra que succedieron en esta ciudad de Seuilla dia del señor san Benito, que se contaron veynte y uno de Março deste año de 1608. Compuesta por el maestro Diego de Briçuela Corçuera, cura proprio de la villa de los poçuelos, en el campo de Calatraua por su Magestad, estante este dia en Seuilla ; Con un romance a la postre del glorioso san Benito compuesto por el mismo author en cuyo dia acaecio.";Unknown;;Library of the Duque de T’Serclaes A, Caja 1, n.º 11;;;;;
I-1609-LI-022F;1609 Lima Earthquake;Unknown;Coat of Arms of the Marquis of Montesclaros;1609;;Woodcut;;P-1609-LI-001C / 1609 Lima Earthquake / Temblor de Lima año de 1609. Governando el Marqués de Montes Claros, virrey excellentíssimo, y una canción real panegírica en la venida de su excellencia a estos reynos. Dirigido a don Ioan de Mendoza, y Luna marqués de Castil de Bayuela su primogenito successor. Por el licenciado Pedro de Oña (This document is included in);Oña, Pedro de;Mendoza, Joan de;Temblor de Lima año de 1609. Governando el Marqués de Montes Claros, virrey excellentíssimo, y una canción real panegírica en la venida de su excellencia a estos reynos. Dirigido a don Ioan de Mendoza, y Luna marqués de Castil de Bayuela su primogenito successor. Por el licenciado Pedro de Oña;Canto, Francisco del;Lima;Providence, John Carter Brown Library R B609 .O58t;;https://archive.org/details/temblordelimaa00oa/page/n15;;;
I-1614-GR-0230;1614 Granada Earthquake;Unknown;A scribe;1496;;Woodcut;;P-1614-GR-001E / 1614 Granada Earthquake / Veríssyma y notable relación, en la qual se declara el espantoso temblor y tempestad que sucedió en la ciudad de Granada, a cinco del mes de octubre deste presente año. Vase declarando las desgratias que sucedieron, y como tembló la Tierra en once días tres vezes. Es obra digna de ser leyda. Lleva al cabo un romance nuevo muy curioso sobre la premática de las mugeres, y unas siguidillas nuevas de la competencia que tuvo el paje Vacallau con su amo (This document is included in);Unknown;Unknown;Veríssyma y notable relación, en la qual se declara el espantoso temblor y tempestad que sucedió en la ciudad de Granada, a cinco del mes de octubre deste presente año. Vase declarando las desgratias que sucedieron, y como tembló la Tierra en once días tres vezes. Es obra digna de ser leyda. Lleva al cabo un romance nuevo muy curioso sobre la premática de las mugeres, y unas siguidillas nuevas de la competencia que tuvo el paje Vacallau con su amo;Lorençana, Bartolomé  de;Granada;London, British Library 1072.g.26.(21.);;http://access.bl.uk/item/viewer/ark:/81055/vdc_100029516244.0x000001;;;
I-1614-TI-0231;1614 Terceira Island Earthquake;Unknown;Emblem between Figures;1614;;Woodcut;;"P-1614-TI-001F / 1614 Terceira Island Earthquake / Relación verdadera de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán (This document is included in); P-1614-TI-0020 / 1614 Terceira Island Earthquake / Relación del lastimoso sucesso que nuestro Señor fue servido sucediesse en la Isla de la Tercera, cabeça de las siete sslas de los Azores, de la corona del reyno de Portugal, en veynte y quatro de mayo sabado día de Santa Iuliana deste año 1614 a las tres horas de la terde, con tres temblores que duraron, por espacio de dos credos. Compuesto por el Alférez Francisco de Segura, criado del rey nuestro Señor. Dirigida al señor Balthasar de Moncal, caballero del habito de Montesa (This document is included in)";Unknown;Unknown;Relación verdadera de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán;Delgado, Cosme;Madrid;London, British Library 1072.g.26.(18.);;https://www.bidiso.es/CBDRS/ediciones/BDRS0000864/88/ejemplar/6883;;;
I-1614-TI-0232;1614 Terceira Island Earthquake;Unknown;Greek Cross;1614;;Woodcut;;P-1614-TI-001F / 1614 Terceira Island Earthquake / Relación verdadera de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán (This document is included in);Unknown;Unknown;Relación verdadera de un caso terrible y espantoso digno de ser memorado, el qual sucedió en la isla de la Tercera, sábado en 24 días del mes de mayo, deste presente año de 1614. En la qual se declara de un terremoto, y teblor de la tierra q huvo a donde se destruyeron nueve vilas y aldeas, hundieron en ellas los templos, monasterios, caserías, desde el techo, hasta los suelos, que fue un castigo grande que Dios nos quiso embiar por nuestros pecados, como por la obra lo verán;Delgado, Cosme;Madrid;London, British Library 1072.g.26.(18.);;http://access.bl.uk/item/viewer/ark:/81055/vdc_100029516235.0x000001;;;
I-1617-BA-0233;1617 Barcelona Flood;Unknown;Scene of Eucharistic Adoration with Soldiers;1618;;Woodcut;;"P-1617-BA-0024 / 1617 Barcelona Flood / Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica (This document is included in)";Unknown;Unknown;"Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica";Malatesta, Marco Tullio;Milan;Rome, Biblioteca Universitaria Alessandrina XIII a.38 45;;;;;
I-1617-BA-061A;1617 Barcelona Flood;Unknown;Minerva;1618;;Woodcut;;"P-1617-BA-0619 / 1617 Barcelona Flood / Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica (This document is included in)";Unknown;;"Vera relatione del compassionevol diluvio seguito nel mese di novembre dell’anno 1617 nella città di Barcellona &amp; in altri luoghi, con la perdita de' monasteri, morte di molta gente &amp; altri casi miracolosi, come in detta relatione si dichiara, portata da Michele Valdeosero corriero di Sua Maestà Catholica";Cochi, Bartolomeo;Bologna;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 103r-106v;;;;foto Milena;
I-1618-SE-053E;1618 Seville Flood;Unknown;Urban landscape seen from the sea, with a fish;1618;;Woodcut;;"P-1618-SE-053D / 1618 Seville Flood / Vera relatione della gran rovina che ha fatto il fiume Quadalchivir in Siviglia, Triana, Alcolca, Cordova, &amp; sue riviere (This document is included in)";Valentin, Louis;;"Vera relatione della gran rovina che ha fatto il fiume Quadalchivir in Siviglia, Triana, Alcolca, Cordova, &amp; sue riviere";;Viterbo;Rome, Fondazione Marco Besso BIBL G.Op 1378;;;;pdf Milena;
I-1624-ZA-0240;1624 Zafra Earthquake;Unknown;Crucifixion;1624;;Woodcut;;P-1624-ZA-002F / 1624 Zafra Earthquake / Espantoso huracán que vino sobre la villa de Çafra, que fue Dios nuestro Señor servido sucediesse por nuestros grandes pecados, para que sea escarmiento a tantas maldades como cada día cometemos contra su divina Magestad. Dase cuenta de la grande ruyna que hubo de personas y haziendas, en este horrible y admirable terremoto. Este año de 1624 (This document is included in);Unknown;Unknown;Espantoso huracán que vino sobre la villa de Çafra, que fue Dios nuestro Señor servido sucediesse por nuestros grandes pecados, para que sea escarmiento a tantas maldades como cada día cometemos contra su divina Magestad. Dase cuenta de la grande ruyna que hubo de personas y haziendas, en este horrible y admirable terremoto. Este año de 1624;Cabrera, Juan  de;Seville;Madrid, Biblioteca Nacional de España VE/197/66;;;;;
I-1625-BA-0518;1625 Barcelona Flood;Unknown;Noah's Ark;1625;;Woodcut;;P-1625-BA-0962 / 1625 Barcelona Flood / Deluge espouvantable arrivé de nouveau à Barcelonne en Espagne (This document is included in);Unknown;;Deluge espouvantable arrivé de nouveau à Barcelonne en Espagne;Verhoeven, Abraham ;Antwerp;Madrid, Biblioteca Nacional de España VE/1482/8;;http://bdh-rd.bne.es/viewer.vm?id=0000264472&page=1;;;
