Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes
P-1647-SA-063B;1647 Santiago Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las Espanas, / y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de Indias;Philip IV;Coronica de la religiosissima provincia de los doze / apostoles del Peru, de la orden de N.P. S. Francisco  de la regular / observancia ...;López de Herrera, Jorge;Por Jorge Lopez de Herrera;Lima;The friar narrates the death of some Franciscans during the earthquake that also caused the ruin of the monastery of San Francisco. The earthquake was a punishment for guilt and came at night without any warning, causing the death of more than a thousand people, the destruction of buildings and the ruin of animals.  Córdoba y Salinas also tells of the destruction of the cathedral of Santiago and the convent of the nuns of Santa Clara, under the rule of the Franciscans. Finally, he tells of the ruin of the archbishop's palace and the miraculous survival of Bishop Gaspar de Villarroel. The earthquake was foretold that same night by a nun from the Augustinian monastery who saw in the air a naked sword and a scourge threatening the city.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;P-1647-SA-012A / 1647 Santiago Earthquake / Carta del P. Iuan González Chaparro de la Compañia de Iesús, y de la vice-provincia de Chile, para el P. Alonso de Ovalle y del Manzano de la misma compañía, Procurador General de Roma, en que le da cuenta del lastimoso sucesso del terremoto que huvo en la ciudad de Santiago de Chile en Indias (This document includes);On the death of some franciscans during the earthquake, see pp. 640-641.<br>On the ruin of San Francisco monastery and nuns from Santa Clara convent, see pp. 641 and 642.<br>On the guilty as the cause of the earthquake, see p. 641.<br>On the victims, see p. 641.<br>On the destruction of the cathedral, see p. 642.<br>On the destruction of archiepiscopal palace and Villarroel's miracle, see p. 642.<br>On the vision of the Augustinian nun from Concepción convent, see p. 642.;INTERPRETAZIONE→Segni premonitori;
P-1647-SA-0647;1647 Santiago Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de / los ermitaños de San Agustin Nuestro Padre ...;Santos de Saldaña, Juan;En la imprenta de Iulian Santos de Saldaña;Lima;On p. 23, Torres praises Bishop Villarroel's reconstruction of both the cathedral and the monastery of La Concepción, of Augustinian nuns.On pp. 37 and 39, there are references to the earthquake and its destructive effects on some buildings. On pp. 532-533, the author recounts the miraculous salvation of the Augustinian bishop Gaspar de Villarroel thanks to the intercession of St. Francisco Javier. He goes on to narrate the work of the bishop to attend to the material and spiritual needs of the faithful and to rebuild the cathedral. All this without having requested money from the king.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657 .T693c;https://archive.org/details/cronicadelaproui00torr;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;
P-1648-IN-012F;1651 East Indies Hurricane;;;;Relaciones de las grandes pérdidas de naos, y galeones que han tenido los Portugueses en la India Oriental, y los cruelísimos huracanes que han sucedido en Goa, y los alborotos de los vezinos de aquella ciudad;Gómez de Blas, Juan;Por Juan Gómez de Blas;Seville;;;1651;Spanish;Prose;5044859;Seville, Biblioteca Capitular y Colombina 61-5-8;https://www.bidiso.es/CBDRS/upload/ejemplares/2043/digitalizado/201711171224__61-5-8%20(%20signatura%20antigua_1_%2063-2-30)---030.pdf;;;;
P-1650-CU-0133;1650 Cuzco Earthquake;;;;Relación del temblor, y terremoto que Dios nuestro señor fue servido de embiar a la ciudad del Cuzco a 31 de março este año passado de 1650, iueves a las dos de la tarde: con particulares misericordias suyas, como se experimentaron en el tiempo de su mayor ruina. Dase cuenta de las asperíssimas penitencias públicas, que las religiones hazían por las calles, en procesión, moviendo a edificación al más endurecido pecho;Paredes, Julián de;Por Iulián de Paredes, impressor de libros, véndese en su casa, en la calle de la Concepción Gerónima;Madrid;;;1651;Spanish;Prose;5029329;"Madrid, Biblioteca Nacional de España MSS/2382(H.302R.-303V.); Madrid, Archivo Histórico Nacional Diversos-Colecciones, 27, n. 24";http://bdh-rd.bne.es/viewer.vm?id=0000255001&page=1;P-1650-CU-0632 / 1650 Cuzco Earthquake / Verdadera relacion del gran temblor y terremoto que Dios N. Señor fue servido de embiar a la ciudad del Cuzco, a 31 del mes de marzo Iueves a las dos de la tarde con particulares misericordias suyos, como se experimentaron en el tiempo de su mayor ruyna (Very similar to);;;
P-1650-CU-0632;1650 Cuzco Earthquake;;;;Verdadera relacion del gran temblor y terremoto que Dios N. Señor fue servido de embiar a la ciudad del Cuzco, a 31 del mes de marzo Iueves a las dos de la tarde con particulares misericordias suyos, como se experimentaron en el tiempo de su mayor ruyna;Carderón, Bernardo (Widow of);Por la Biuda de Bernardo Calderón, en la calle de San Agustín;Mexico City;;;1650;Spanish;Prose;;Puebla, Universidad Autónoma, Biblioteca Especial 'José María Lafragua' (Fondo Antiguo).  34889_09-41040104;https://memoricamexico.gob.mx/swb/memorica/Cedula?oId=_0MriHsB-BK7IK019rdM;P-1650-CU-0133 / 1650 Cuzco Earthquake / Relación del temblor, y terremoto que Dios nuestro señor fue servido de embiar a la ciudad del Cuzco a 31 de março este año passado de 1650, iueves a las dos de la tarde: con particulares misericordias suyas, como se experimentaron en el tiempo de su mayor ruina. Dase cuenta de las asperíssimas penitencias públicas, que las religiones hazían por las calles, en procesión, moviendo a edificación al más endurecido pecho (Very similar to);;;
P-1650-CU-063E;1650 Cuzco Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las / Espanas, y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de / Indias;Philip IV;Coronica / de la religiosissima provincia de los doze apostoles del Peru, de la orden de / N.P. S. Francisco  de la regular observancia ...;López de Herrera, Jorge;Por Jorge López de Herrera;Lima;On pp. 644 and 645, Córdoba y Salinas reports on the duration of the earthquake and the emotions it provoked in the population. He describes the acts of public penitence carried out by the secular and ecclesiastical chapter and by the various religious orders. The earthquake is presented as one of the omens heralding the Last Judgement.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;;
P-1650-CU-0650;1650 Cuzco Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de / los ermitaños de San Agustin Nuestro Padre ...;Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;On page 641, the friar tells that the earthquake destroyed the augustinian convent of Cuzco.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;
P-1650-CU-0A04;1650 Cuzco Earthquake;Ocón, Juan Alonso de;;;Carta Pastoral Consolatoria. Dirigida a los dos nobilissimos Cabildos, Eclesiastico y Secular, de la gran Çiudad de Cuzco, y a sus habitadores todos. Con ocasion de un formidable temblor que hubo en ella, en 31 de março deste año de 1650, Lima, 30 de mayo de 1650;;;Lima;;;1650;Spanish;Prose;;Providence, John Carter Brown Library b3017765;https://archive.org/details/cartapastoralcon00oc;;;;segnalata da Rogelio Altez, 'Impresos sobre terremotos en la Hispanoamérica del siglo XVII. Relaciones de sucesos entre la verdad y la fe', in Historiar la catástrofe (2020)
P-1650-CU-0A05;1650 Cuzco Earthquake;Contreras y Valverde, Vasco de ;;;Respuesta a la Carta Consolatoria del Ilustrísimo Señor Doctor don Juan Alonso Ocon Obispo del Cuzco, del Consejo de Su Majestad, visitador general de los Tribunales de la Santa Cruzada, Lima, 26 de junio de 1650;;;Lima;;;1650;Spanish;Prose;;Providence, John Carter Brown Library b3017765;;;;;segnalata da Rogelio Altez, 'Impresos sobre terremotos en la Hispanoamérica del siglo XVII. Relaciones de sucesos entre la verdad y la fe', in Historiar la catástrofe (2020)
P-1651-MU-0134;1651 Murcia Flood;Villacís, Pedro de;Illustrissimo Señor Don Iuan Francisco Pacheco, Dean y Canonigo de la Santa Iglesia de Iaen, Sumiller de Cortina de su Magestad, Electo Obispo de Cordova;Pacheco, Juan Francisco (Bishop of  Córdoba);Copia de una carta que escrivió don Pedro Villacís, beneficiado, y cura propio de la parroquial de Torre Pacheco, para el illustríssimo señor Don Iuan Francisco Pacheco, Deán y Canónigo de la Santa Iglesia de Iaén, sumiller de Cortina de su Magestad, electo obispo de Córdova. Refiere la inundación de Murcia, ruyna de sus edificios, pérdida de sus haziendas;;;Murcia;;;1651;Spanish;Prose;Null;Santiago de Compostela, Biblioteca de la Catedral de Santiago de Compostela 4155;;;CBDRS 0002202;;
P-1651-MU-0135;1651 Murcia Flood;;;;Avenida grande en Murcia, y relación copiosa de las muertes perdidas, y daños de su inundación. Es carta de un religioso capuchino, para otro de esta ciudad;Lyra, Francisco Ignacio de;Por Francisco Ignacio de Lyra;Seville;;;1651;Spanish;Prose;Null;Seville, Biblioteca Capitular y Colombina 61-5-8--059;https://www.bidiso.es/CBDRS/upload/ejemplares/2066/digitalizado/201711171224__61-5-8%20(%20signatura%20antigua_1_%2063-2-30)---059.pdf;;CBDRS 0000632;;
P-1651-MU-07B4;1651 Murcia Flood;;;;Avenida grande en Murcia y relación copiosa de las muertes, perdidas y daños de su inundación. Es carta de un religioso capuchino para otro de esta ciudad;Lyra, Francisco Ignacio de;En Sevilla por Francisco Ignacio de Lyra. Año de 1651;Seville;;;1651;Spanish;Prose;;Seville, Biblioteca Capitular y Colombina 61-5-8 (59);;;;;
P-1651-PE-09EE;1651 Pacaya Eruption;;Dedicala al Señor Don Antonio de Lara Mogrovejo;;Compendio de los sucessos del año de cinquenta y vno, en la ciudad de Guatemala;;Por La Biuda De Bernardo Calderon, En La Calle De San Agustin;Mexico City;;;1651;Spanish;Prose;;Providence, John Carter Brown Library BB651 .C737d;https://americana.jcblibrary.org/search/object/jcbcap-991031854919706966/;;;;
P-1653-MU-0136;1653 Murcia Flood;;;;Relación de la grande inundación, que el río de Segura ha hecho en la ciudad de Murcia, y otros lugares de aquel reyno: sucedida desde el miércoles cinco de noviembre, hasta el viernes siete del dicho mes, año de 1653;Bolívar, Baltasar de;Baltasar de Bolívar;Granada;;;1653;Spanish;Prose;Null;Madrid, Biblioteca Nacional de España VC/56/89;;;;;Foto Schiano
