Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes
P-1538-MN-0005;1538 Monte Nuovo Eruption;;;;I gran segni et terremoti tratti appresso alla città di Napoli a un luoco chiamato Puzolo la vigilia di san Michele, con piovere di solfore, et folgorar de troni, e aperture di montagne, e grandissime fiamme di fuoco, et seccatosi più di tre miglia di mare, et altre cose horribile per sette, o otto giorni continui apparse, et ancora seguitano;;;;;;1539;Italian;Prose;800721;"Paris, Bibliothèque Mazarine 4° 14771 A-33; Modena, Biblioteca Estense Universitaria A 45180 *000 000 000; London, British Library General Reference Collection DRT Digital Store 7108.c.35.";https://books.google.it/books?id=hoNmAAAAcAAJ&hl=it&pg=PP2#v=onepage&q&f=false;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;Esemplare della Biblioteca Estense Universitaria: 1 v., legato all'interno di un manoscritto: 'Cronaca del Lancillotti' (https://www.bibliomo.it/SebinaOpac/resource/i-gran-segni-et-terremoti-tratti-appresso-alla-citta-di-.... La fotoriproduzione è dell'esemplare conservato alla British Library.
P-1538-MN-0006;1538 Monte Nuovo Eruption;"Toledo, Pietro Giacomo; Pino, Giovanni Battista (Author of the preface Alli studiosi della volgar lingua')'";Al illustrissimo signor Don Piero di Toledo lo Signor Marchese di Villa Franca, Vicerè e Capitano Generale di Su. Ma. nel Regno di Napoli;Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo;Sultzbach, Giovanni;Stampata in Nap. per Giouanni Sulztbah alemano à 22 de Genaro 1539 con gratia, e, priuilegio.;Naples;Pietro Giacomo de Toledo, a witness to the 1538 eruption, authored a work explaining the disaster and dedicated to the Viceroy. This text, presented as a dialogue between Peregrino and Suessano, used Aristotelian concepts to describe the eruption's causes and effects. The dialogue explained the eruption through a metaphor based on the workings of the human body. Toledo emphasized two origins in seismic activity, a final cause (God) and a formal cause (resulting from terrestrial movements). He also discussed subterranean winds generating earthquakes in regions without openings. Toledo's outlook for the near future was pessimistic, especially for Pozzuoli.;;1539;Italian;Prose;859264;"Los Angeles, Getty Research Institute SPECIAL COLLECTIONS QE533 .T6 1539; London, University College London STRONG ROOM JOHNSTON LAVIS 1539 T6; Lucca, Biblioteca Statale B.ta 952.12; Pisa, Biblioteca Universitaria C r. 1. 2. 1; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 026 (1";https://archive.org/details/ragionamentodelt00tole;"I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes); P-1538-MN-0A8D / 1538 Monte Nuovo Eruption / De Puteolani aeris natura (This document is translated in)";;INTERPRETAZIONE→Aristotelismo/tomismo;L'esemplare digitalizzato è quello conservato al Getty Research Institute. Worldcat segnala altri esemplari, ma le biblioteche citate hanno solo l'ebook: https://www.worldcat.org/it/title/1170010322.
P-1538-MN-051A;1538 Monte Nuovo Eruption;Borgia, Geronimo ;AD PAVLUM III PONTEFICEMOptimi Maximi Hieronymi Borgii Conflagratio Averni Horrenda;Farnese, Alessandro ;Incendium ad Avernvm Lacvm Horribile Pridie Cal. Octob. M.D. XXXVIII. Nocte In tempesta Exortum;Cancer, Mattia;;Naples;Girolamo Borgia wrote a Latin poem asserting that the Puteolan conflagration could not be solely explained as a natural phenomenon and openly rejected Porzio's claims. According to Borgia, this calamity should be interpreted as a divine punishment for human sins.;;1539;Latin;Verse;816392;"Paris, Muséum national d'Histoire naturelle ; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 029";https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?teca=MagTeca+-+ICCU&id=oai:www.internetculturale.sbn.it/Teca:20:NT0000:CNCE007133;P-1538-MN-0973 / 1538 Monte Nuovo Eruption / De conflagratione Agri Puteolani, Simonis portii (This document mentions);;INTERPRETAZIONE→Punizione per i peccati degli uomini;trascritta la carta 8 recto
P-1538-MN-0973;1538 Monte Nuovo Eruption;Porzio, Simone;"Illust. D. Petro Toledo Principi Villae franchae, Regni Neap. Proregi, &amp; militum Imperatori";Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);De conflagratione Agri Puteolani, Simonis portii;Sultzbach, Giovanni;;Naples;Simone Porzio's essay offered an Aristotelian interpretation of natural disasters. This peripatetic view became the official account of the disaster and emphasized the role of subterranean winds, linked to celestial movements, in causing earthquakes. Despite the infrequency of eruptions and earthquakes, both were considered inherent to nature. The essay provided a general reflection on earthquake causes and then outlined the events that led to the formation of Monte Nuovo.;;1539;Latin;Verse;851025;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 031;;"I-1538-MN-05E7 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes); M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work (Very similar to); P-1538-MN-051A / 1538 Monte Nuovo Eruption / Incendium ad Avernvm Lacvm Horribile Pridie Cal. Octob. M.D. XXXVIII. Nocte In tempesta Exortum (This document is mentioned in); P-1538-MN-0983 / 1538 Monte Nuovo Eruption / De conflagratione Puteolani Agri Causae &amp; significationes Simonum Portium (Very similar to)";;INTERPRETAZIONE→Aristotelismo/tomismo;ricontrollare la relazione con l'item M-1538-MN-0373 (Milena)
P-1538-MN-0983;1538 Monte Nuovo Eruption;Porzio, Simone;Illu. D. Petro - Imperat.;Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);"De conflagratione Puteolani Agri Causae &amp; significationes Simonum Portium";Sultzbach, Giovanni;;Naples;This text would appear to be the editio princeps of Simone Porzio's essay.Porzio's essay offered an Aristotelian interpretation of natural disasters. This peripatetic view became the official account of the disaster and emphasized the role of subterranean winds, linked to celestial movements, in causing earthquakes. Despite the infrequency of eruptions and earthquakes, both were considered inherent to nature. The essay provided a general reflection on earthquake causes and then outlined the events that led to the formation of Monte Nuovo.;;1538;Latin;Verse;;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 049;;"I-1538-MN-05E6 / 1538 Monte Nuovo Eruption / Scene of hell (This document includes); M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work (Very similar to); P-1538-MN-0973 / 1538 Monte Nuovo Eruption / De conflagratione Agri Puteolani, Simonis portii (Very similar to)";;INTERPRETAZIONE→Aristotelismo/tomismo;ricontrollare la relazione con l'item M-1538-MN-0373 (Milena)
P-1538-MN-0A22;1538 Monte Nuovo Eruption;Sandoval, Prudencio de;Dirigida al católico rey don Felipe III deste nombre, nuestro señor;Philip III;Segunda parte de la vida y hechos del emperador Carlos Quinto máximo, fortísimo rey católico de España, y de las Indias, islas y tierrafirme del mar oceano;Cañas, Sebastián de;Valladolid, por Sebastián de Cañas, año de 1606;Valladolid;In the book XXIV that is about the events of 1538 a report of Montenuovo eruption is copied. The report is introduced this way: Feneceré los cuentos deste año de 1538 con una temerosa tempestad que sucedió en el Reino de Nápoles, el qual escriuió un Cauallero desta manera;;1606;Spanish;Prose;;Madrid, Biblioteca de la Universidad Complutense de Madrid BH FLL Res. 706;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
P-1538-MN-0A8D;1538 Monte Nuovo Eruption;Toledo, Pietro Giacomo;ad illustriss. principem Petrum a' Toleto marchionem Villae Franchae et in Regno Neapolitano pro Regem Petri Iacobi 'a Toleto epistola;Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);De Puteolani aeris natura;Sultzbach, Giovanni;;Naples;This text is the Latin version of the 'Ragionamento, del terremoto, del nuouo monte' by the same author.Pietro Giacomo de Toledo, a witness to the 1538 eruption, authored a work explaining the disaster and dedicated to the Viceroy. This text, presented as a dialogue between Peregrino and Suessano, used Aristotelian concepts to describe the eruption's causes and effects. The dialogue explained the eruption through a metaphor based on the workings of the human body. Toledo emphasized two origins in seismic activity, a final cause (God) and a formal cause (resulting from terrestrial movements). He also discussed subterranean winds generating earthquakes in regions without openings. Toledo's outlook for the near future was pessimistic, especially for Pozzuoli.;;1544;Latin;Prose;859265;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 026 (2;;P-1538-MN-0006 / 1538 Monte Nuovo Eruption / Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo (This document is a translation of);;INTERPRETAZIONE→Aristotelismo/tomismo;
P-1538-MN-0A93;1538 Monte Nuovo Eruption;Sanfelice, Antonio;Antonius Sanctofelicius Tiberio Buchae S.P.D.;Di Buca, Tiberio;Clio divina;Sultzbach, Giovanni;Ex officina Ioannis Sulbachii Germani;Naples;Napoli, ex officina Giovanni Sultzbach, 1541;;1541;Latin;Verse;854497;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.F. 009;https://play.google.com/books/reader?id=KIINOSR-PN0C&pg=GBS.PT1&hl=it;;"Pages&nbsp;32-34";SENSORIALITÀ E MATERIALITÀ→Sensazioni uditive;"Ho dovuto eliminare l'nserimento di prova di Giancarlo Riccio per un errore nella segnalazione della biblioteca che ne possiede una copia; purtroppo non si poteva semplicemente modificare (Umberto)"
P-1538-MN-0A96;1538 Monte Nuovo Eruption;Del Nero, Francesco;;;"Lettera di noui avisi de Pezolo et delle bocche del foco nuouamente aparse apresso a Napoli, &amp; de la Pronosticatione di quello et di tutto el Successo insino a questo Giorno Adi XVI d'Ottobre M.D.XXXVIII";;;;Printed version of the contents of the letter that Francesco Del Nero, a witness to the 1538 eruption, wrote to Niccolò del Benino, giving a vivid account of the impact of the disaster. Del Nero, a Florentine businessman and relative of Machiavelli, described the transformation of the once enchanting Pozzuoli into a fiery nightmare. He also expressed his inability to comprehend the immense volume of incandescent materials ejected from the crater in just two days.Del Nero mentioned the scholarly discussions surrounding the event, acknowledging the writings of Simone Porzio and the viceroy Pedro de Toledo's response, which involved digging numerous deep pits to extinguish the fire. Del Nero's letter reflects the popular perception of the eruption during his time.Del Nero compared the eruption to a pyrotechnic display at Castel Sant'Angelo, like the one held to celebrate the marriage between Margaret, daughter of Emperor Charles V, and Ottavio Farnese in November 1538, the month after the date of the letter.;;1539;Italian;Prose;;Munich, Bayerische Staatsbibliothek Res/4 Phys.sp. 304,9;https://www.digitale-sammlungen.de/en/view/bsb00020987?page=2,3;M-1538-MN-0A98 / 1538 Monte Nuovo Eruption / Copy of the contents of the letter that Francesco Del Nero, a witness to the 1538 eruption, wrote to Niccolò del Benino, giving a vivid account of the impact of the disaster. Del Nero, a Florentine businessman and relative of Machiavelli, described the transformation of the once enchanting Pozzuoli into a fiery nightmare. He also expressed his inability to comprehend the immense volume of incandescent materials ejected from the crater in just two days.Del Nero mentioned the scholarly discussions surrounding the event, acknowledging the writings of Simone Porzio and the viceroy Pedro de Toledo's response, which involved digging numerous deep pits to extinguish the fire. Del Nero's letter reflects the popular perception of the eruption during his time.Del Nero compared the eruption to a pyrotechnic display at Castel Sant'Angelo, like the one held to celebrate the marriage between Margaret, daughter of Emperor Charles V, and Ottavio Farnese in November 1538, the month after the date of the letter. (Very similar to);"This letter has been known since 1846, through Francesco Palermo’s edition:&nbsp;Archivio Storico Italiano, IX (1846), Florence. pp. 93–96";RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Le copie manoscritte sono in Biblioteca Nazionale Centrale, Firenze, Gino Capponi CLI, cc. 123v-127v, Archivio Segreto Vaticano, Roma, Arm. XXXII 34, cc. 135v–138r, Harry Ransom Center, Austin, Ranuzzi Family Manuscripts, Ph 12844.54, cc. 183v-185r. Chiedere a Montuori le fotoriproduzioni
P-1538-MN-0AB4;1538 Monte Nuovo Eruption;"Porzio, Simone; Rizzuti, Ortensio (Translator)";;;Trattato del fuoco apparso in li luochi de Puzolo del magnifico Simone Portio;Sultzbach, Giovanni;Napoli, Giovanni Sultzbach, 1539;Naples;Vulgar translation of the epistle of Simon Porzio.;;1539;Italian;Prose;851026;Bitonto (BA), Biblioteca comunale Eustachio Rogadeo misc. B. 83;;;The final two pages are missing.;INTERPRETAZIONE→Aristotelismo/tomismo;
P-1541-GU-0007;1541 Guatemala Earthquake;Rodríguez, Juan;;;Relación del espantable terremoto que agora nuevamente ha acontecido en las yndias en una ciudad llamada Guatimala;;;;;;1541;Spanish;Prose;349565;Madrid, Biblioteca Nacional de España R/13784;http://bdh-rd.bne.es/viewer.vm?id=0000249924&page=1;;;;
P-1541-GU-0008;1541 Guatemala Earthquake;;;;Relación cierta y verdadera sacada y trasladada de una carta que a esta ciudad de Sevilla fue embiada sobre la terrible y tempestuosa tormenta que sucedió en la cibdad de Guatimala sábado dos oras después de anochecido a diez días del mes de setiembre del año passado de mil y quinientos y quarenta y uno;;;Seville;;;1542;Spanish;Prose;344840;Los Angeles, UCLA Library SRLF F1476.G92 R45 1543a;https://ucla.on.worldcat.org/oclc/21027285;I-1541-GU-0223 / 1541 Guatemala Earthquake / City View from the Sea with a Pilgrim (This document includes);;;
P-1542-ES-069B;1542 Sicily Earthquake;;;;"Copia de una lettra che contiene li spaventosi &amp; horrendi terremoti venuti ne la isola di / Sicilia &amp; la gran rovina &amp; strage che han fatto in quella con danno grandissimo de paesani. / Questo terremoto fu adì XVII decembrio MDXLII";;;;Copy of a letter describing the ruinous and disastrous outcomes of terrible earthquakes in Sicily. The local people react by showing religious devotion.;;1542;Italian;Prose;;Venice, Biblioteca Nazionale Marciana MISC 2230.        029;;I-1542-ES-0AB5 / 1542 Sicily Earthquake / A city under siege (This document includes);"Transcription in&nbsp;CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-052400_T.pdf";COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
P-1542-ES-06AD;1542 Sicily Earthquake;Vita, Francesco;;;Innesto istorico della città d'Augusta negli annali de' Re di Sicilia;Gueriglio, Giovanni;Venezia, nella stamperia del Gueriglio, 1653;Venice;An unusual earthquake affected the city of Augusta and the neighbouring land of Melilli, of which the ruins of the castle destroyed by the event remain.;;1653;Italian;Prose;;;;;"Transcription of the text by CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-145174_T.pdf";TOPOI DELLA NARRAZIONE→Rovine;
P-1542-ES-06AF;1542 Sicily Earthquake;Maurolico, Francesco;Ad Serenissimum Hispaniæ Principem Carolum Philippi Regis Pontentissimi F. Avthoris Episola;;Sicanicarum rerum compendium Maurolyco abbate Siculo authore;Spira, Petruccio;Messina, impressit Petruccio Spira, 1562;Messina;At the end of November, or rather at the beginning of December, many buildings in Catania, Lentini, Licodia, Mineo, Licata and Agrigento collapsed due to a major earthquake.;;1562;Latin;Prose;841632;;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;
P-1542-ES-06B0;1542 Sicily Earthquake;Fazello, Tommaso;"D. Philippo Hispaniæ, Angliæ, Siciliæ &amp;c. Regi Potentissimo";Philip II;De rebus Siculis decades duae, nunc primum in lucem editae. His accessit totius operis index locupletissimus;"Carrara, Giovanni Francesco; Mayda, Giovanni Matteo";"Palermo, apud Giovanni Matteo Mayda &amp; Giovanni Francesco Carrara, 1558";Palermo;Description of the victims and the damage to religious buildings, fortresses and public structures that the earthquake caused to the various communities.;;1558;Latin;Prose;828896;;;;"Transcription of the manuscript by CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-050829_T.pdf";FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;
P-1542-ES-06B1;1542 Sicily Earthquake;Pirri, Rocco;;;Sicilia sacra disquisitionibus: et notitiis illustrata, ubi libris quatuor postquam de illius patriarcha, et metropolita disquisitum est, a christianae religionis exordio ad nostra usque tempora cuiusque praesularus explicantur;"Coppola, Pietro; Maringo, Giovanni Battista";Palermo, ex typographia Pietro Coppola, Giovanni Battista Maringo, 1643-1644;Palermo;Description of the victims and damage that the earthquake caused in Syracuse, and narration of the devotional expressions of the local population. The author makes the earthquakes begin on 5 August and end on 30 November.;;1643;Latin;Prose;4014975;;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;"Mongitore A., in 'Istoria cronologica de’ terremoti di Sicilia', in Id., 'Della Sicilia ricercata nelle / cose più memorabili', tomo 2, pp.345-445. Palermo 1743, cita e traduce Pirri: 'Scrive pur largamente di questo Terremoto l’Ab. Pirri in 'Not. Eccl. Syrac.', f.190, narra egli, che de’ 5 di / Agosto del 1542 fino a 30 Novembre i Terremoti conquassaron tutta la Sicilia, in particolare il Territorio di Siracusa. / A 10 dello stesso Agosto diroccò il Campanile della Cattedrale di Siracusa: pose in rovina tutto il palazzo Vescovale, / e molte case. Precipitò in Sortino il suo Castello, ed uccise la moglie di Pietro Gaetano padrone della Terra, col loro / Primogenito Guidone, che trovavasi infermo in letto, col Medico, e dodici della Famiglia. Rovinò il Castello di / Mineo, ed ivi si vide in gran pericolo della vita Mons. D.Girolamo Bologna Palermitano Vescovo di Siracusa, che / trovavasi in Visita della Diocesi: quindi il vigilante Pastore a 12 dello stesso Agosto, se ne tornò velocemente in Siracusa per dare conforto, e sovvenimento agli atterriti Cittadini. A placare il divino sdegno dispose tre processioni / in ogni settimana. Molte processioni di penitenti si portaron da Siracusa a Noto, per implorare pietà nella visita del / SS.Crocifisso di somma divozione, che ivi è venerato, e alle Reliquie di S.Corrado. Tutti i Siracusani, e anche le / Monache con licenza del Vescovo, temendo che tutta la Penisola dovesse restare assorbita dal mare per li spessi / scotimenti, abbandonata la Città, si portarono ad abitare o a Cielo scoperto, o nelle Campagne in case di tavole: lo / stesso Vescovo nella notte del Santo Natale del Signore, co’ Canonici, e Clero celebrò i divini uffizj sopra una Galea / portata al lido del mare. E poiché tuttavia seguivan le scosse de’ Terremoti nell’anno 1543 a 9 di Gennaro li Fratelli / dell’Annunciata di M.V. vestiti di sacco, a larga copia di lagrime, e spargimento di sangue si portarono in / processione al Sepolcro di S.Agata in Catania, si framiscarono ad essi 127 Sacerdoti, e i Padri dell’Ordine / Francescano; e tutti battendosi a sangue per implorare la Divina Misericordia: e fu uno spettacolo di divozione / insieme, d’ammirazione a’ Catanesi: tornando poi in Siracusa collo stesso ordine furono incontrati dal Vescovo, / Clero, e Popolo fuori la porta della Città."
P-1542-ES-06B2;1542 Sicily Earthquake;Lengueglia, Giovanni Agostino;All'Illustrissimo, et Eccellentissimo Don Lvigi Gviglielmo Moncada, Aragona, Luna, e Cardone;Moncada y de Aragon y de la Cerda y de la Cueva, Luis Guillermo de (Viceroy of Valencia);Ritratti della Prosapia et heroi Moncadi nella Sicilia. Opera historica-encomiastica;Sacco, Vincenzo;Nel reale di Valenza, per Vincenzo Sacco, 1657;Valencia;Francesco Moncada, Count of Calatanissetta, was sent to Syracuse by the Viceroy of Sicily Ferdinando Gonzaga after the earthquake caused the inhabitants to abandon the city. With his eloquence, he convinced the citizens to return to the city.;;1657;Italian;Prose;;;;;;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;Citato in Mongitore A., Istoria cronologica de’ terremoti di Sicilia, in Id., 'Della Sicilia ricercata nelle / cose più memorabili', tomo 2, pp.345-445. Palermo 1743.
