Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
M-1504-SE-07B6;1504 Seville Earthquake;Seville, Archivo Capitular, ACS - Sec. IX - Leg. 11291 - Exp. 6;Unknown;;;;;;Title: Terrible y espantoso terremoto, y temblor de tierra en Sevilla y otras muchas partes y alrrededores de su comarca, sacado del testimonio que escrito en latín en pergamino se guarda en la Iglesia mayor traducido fielmente en castellano;Spanish;;;;;
M-1505-BA-0848;1505 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Registre de Deliberacions, 1 B. II-37, f. 77;Consell de Cent;;1505;Barcelona;;;The Consell de Cent orders the reconstruction of the Sant Boi bridge because the avenue of the Llobregat River has demolished it completely.;Catalan;;;https://catalegarxiumunicipal.bcn.cat/ms-opac/image-file/byte?f=/opt/baratz/mediasearch/cache/raw/1/00000455/1109240/2009055111111.pdf;;
M-1505-BA-0849;1505 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Registre de Deliberacions, 1 B. II-39, f. 15 and 18;Consell de Cent;;1508;Barcelona;;;There are still 24 pontoons to be built to finish the bridge that demolished the avenues of the Llobregat river in 1505.;Catalan;;;https://catalegarxiumunicipal.bcn.cat/ms-opac/image-file/byte?f=/opt/baratz/mediasearch/cache/raw/1/00000455/1109243/2009058111111.pdf;;
M-1508-NP-09D2;1508 Naples Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS Brancacciano II F 6, Notar Iacobo, Cronica di Napoli, paragraph 563;Iacobo, Notar;;1494;Naples;;;Chronicle by Notar Giacomo testifying to the seismic swarm felt in Naples on 25 January 1508.The chronicler Giuliano Passero also provides an almost identical description of the event, but dates it to 19 July 1508: Giuliano Passero, Storie in forma di Giornali, ed. by Vincenzo Maria Altobelli, Naples, Vincenzo Orsino, 1785, p. 154.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia con altri eventi;
M-1508-NP-09D3;1508 Naples Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 808, f. 308;Atri, Giacomo de (Gonzaga diplomatic agent in Naples);Gonzaga, Francesco II;1508;Naples;;Mantua;The Gonzaga's diplomatic agent in Naples reported a strong Earthquake felt in Naples on 25 January, but there was no damage.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Narrazione in prima persona, dialoghi;
M-1508-NP-09D4;1508 Naples Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 808, f. 322;Atri, Giacomo de;Gonzaga, Francesco II;1508;Naples;;Mantua;The Gonzaga's diplomatic agent in Naples reports a strong Earthquake in Pozzuoli that ruined many houses and caused great fear among those who were there for the baths. It is doubtful that the calamity will lead the city to depopulation.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Rumours;
M-1508-NP-09D5;1508 Naples Earthquake;Naples, Archivio di Stato di Napoli, Museo, Miscellanea, 99.A, n. 5, ff. 14v–16r;Cardona, Ramón de (Viceroy of Naples);Università of Pozzuoli;1511;Naples;;;Privilege granted by Viceroy Ramón de Cardona in 1511. The text of the privilege recognised that Pozzuoli's buildings had been destroyed by recurrent Earthquakes and granted the Università a benefit already experienced in October 1503 by Grand Captain Gonzalo Fernández de Córdoba. Not a tax benefit, but the confirmation of the possibility of building on state land that had emerged as a result of the bradyseism phenomenon.;Latin;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
M-1509-CA-094A;1509 Calabria Earthquake;;;;;;;;;;;;;;
M-1511-BA-08B7;1511 Barcelona Earthquake;Barcelona, Arxiu Històric de la Ciutat, Dietari de l'Antic Consell Barceloní, 1B. XXV-15;Consell de Cent;;1511;Barcelona;;;The inhabitants of Barcelona feel a great Earthquake that causes them great fear. Two days later another Earthquake occurs, but of small intensity. No major damage occurs.;Catalan;;;;;
M-1520-NP-09D6;1520 Naples Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 809, f. 295r;Antimaco, Federico (Gonzaga diplomatic agent in Naples);Este, Isabella de (Marquise of Mantua);1530;Naples;;Mantua;The Gonzaga diplomatic agent reports to the Marchesa about the Earthquake that has struck the city of Naples. The Earthquake has not caused the ruin of houses or buildings, but it is feared that the event is the prelude to future disasters.;Italian;;;;TOPOI DELLA NARRAZIONE→Rovine;
M-1520-NP-09D7;1520 Naples Earthquake;Pozzuoli, Archivio Storico della Diocesi di Pozzuoli, Sezione II, Capitolo dei Canonici, Pergamene, n. 167;Leo X (Pope);Chapter of Pozzuoli;1521;Rome;;Pozzuoli;Papal bull reducing the ecclesiastical tithes that the Chapter of Pozzuoli owed to the Apostolic See in consideration of the meagre income of the Church of Pozzuoli due to the Earthquakes that usually occur.;Latin;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1520-NP-09D8;1520 Naples Earthquake;Naples, Archivio di Stato di Napoli, Museo, Miscellanea, 99.A, n. 5, ff. 18r–23r;Charles V;Università of Pozzuoli;1521;Naples;;Pozzuoli;The content of the privilege begins by portraying the inhabitants of Pozzuoli as faithful vassals who, due to the necessity and poverty caused by continuous Earthquakes, supplicated the sovereign authority to guarantee them the franchises and immunities already granted by previous rulers. The privilege therefore confirmed the various benefits that constituted the state-owned nature of the locality, adding that the proceeds collected from the fair dedicated to one of the city's patron saints, St Proculus, would be used to repair the walls damaged by the Earthquake. ;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1525-BA-08BA;1525 Barcelona Earthquake;Barcelona, Arxiu Històric de la Ciutat, Dietari de l'Antic Consell Barceloní, 1B. XXV-15;Consell de Cent;;1525;;;;Strong Earthquake in the city of Barcelona, with slight aftershocks during the next two days. Only material damage occurs.;Catalan;;;;;
M-1534-CE-0914;1534 Cotopaxi Eruption;Seville, Archivo General de Indias, Patronato, Leg. 28, 20;Villasante, Salazar de ;Consejo de Indias;1570;Quito;;Madrid;In this geographical report relación geográfica, the author (formerly governor then auditor in Quito) describes the volcanoes around Quito and describes several Eruptions, including the 1534 Cotopaxi Eruption, that occurred at the time of the arrival of the Spaniards in Ecuador;Spanish;;"1541 Guatemala Earthquake;1566 Pichincha Eruption";;COMUNITÀ/ EFFETTI SOCIALI→Rievocazione del disastro a distanza di tempo;
M-1536-BA-0844;1536 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Registre de Deliberacions, 1B.II-53, f. 51;Consell de Cent;;1536;Barcelona;;;The floods of the Llobregat River have demolished some arches of the bridge. Crossing the river to go or come from Barcelona is very dangerous because of the state of the bridge.;Catalan;;;https://catalegarxiumunicipal.bcn.cat/ms-opac/image-file/byte?f=/opt/baratz/mediasearch/cache/raw/1/00000455/1109542/2012325111111.pdf;;
M-1536-FX-0845;1536 Flix Flood;Barcelona, Arxiu Històric de la Ciutat, Registre de Deliberacions, 1B. II-53, f. 60;Consell de Cent;;1536;Barcelona;;;The Consell de Cent orders to repair the Dam of Flix because the floods of the Ebro River have caused significants damages.;Catalan;;;https://catalegarxiumunicipal.bcn.cat/ms-opac/image-file/byte?f=/opt/baratz/mediasearch/cache/raw/1/00000455/1109542/2012325111111.pdf;;
M-1537-PE-09DA;1537 Pozzuoli Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 1906, ff. 691r-v;Valdés, Juan de;Gonzaga, Ercole (Cardinal);1537;Naples;1537;Rome;Letter from Juan de Valdés writing to Cardinal Ercole Gonzaga from Naples in January 1537 about the viceroy Pedro de Toledo's reluctance to leave Pozzuoli despite the city being subject to the growing risk of barbarian invasions and Earthquakes.;Spanish;;;;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;
M-1537-PE-09DB;1537 Pozzuoli Earthquake;Florence, Archivio di Stato di Firenze, Mediceo del Principato, b. 3260, f. 51v;Strozzi, Alessandro (Medici diplomatic agent in Rome);Medici, Cosimo I de (Duke of Florence);1537;Rome;;Florence;The Medici agent Alessandro Strozzi reported that on the first day of Lent 1537, around mid-February, great tremors considerably damaged houses and the cathedral of Pozzuoli. The house where the Viceroy was staying was also partly ruined and people were reduced to sleeping in the countryside. In conclusion, the Medici diplomat ruled out the possibility that the inhabitants of Pozzuoli had taken refuge in Naples so far that they had wandered in the area of Capua;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;
M-1538-MN-0374;1538 Monte Nuovo Eruption;Simancas, Archivo General de Simancas, Patronato Real, 42, d. 7;Porzio, Simone;Toledo, Pedro de (Viceroy of Naples);1538;Naples;;;A cultivated dissertation on Monte Nuovo Eruption;Italian;M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work;;;;
M-1538-MN-0677;1538 Monte Nuovo Eruption;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS-12-G-60, fol. 493;Nigrone, Giovanni Antonio;;1600;Naples;;;In the 2nd vol. of his handwritten book titled 'Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the Eruption of Monte Nuovo in 1538. He states that he derived the information on this event from his father's accounts, yet his description is very similar to that published in 1539 by M.A Delli Falconi. The author challenges the idea that such events are a prelude to other disasters, but may be followed by disasters 'naturally' connected to them, such as drought and famine;Italian;P-1538-MN-0004 / 1538 Monte Nuovo Eruption / Dell'incendio di Pozzuolo (This document summarizes);;;INTERPRETAZIONE→Aristotelismo/tomismo;
M-1538-MN-09E7;1538 Monte Nuovo Eruption;Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Partium, b. 15, ff. 196r-v;"Toledo, Pedro de (Viceroy of Naples); Loffredo, Francesco de (Regent of the Consiglio Collaterale)";Royal Captain of Pozzuoli;1541;Naples;;Pozzuoli;Response by the Consiglio Collaterale to the Università of Pozzuoli's petition to oppose the new royal captain's action of imprisoning numerous debtors. The Università had obtained the court's approval of an indult so that, as the city had been damaged by the Eruption, it had been necessary to uninhabit and then facilitate the centre's re-inhabitation.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1538-MN-09E9;1538 Monte Nuovo Eruption;Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Partium, b. 17, ff. 206r-v;"Toledo, Pedro de (Viceroy of Naples); Loffredo, Francesco de (Regent of the Consiglio Collaterale)";"Regia Camera della Sommaria; Castiglio, Cristoforo del (Tax collector of Terra di Lavoro)";1541;Naples;;;Response by the Consiglio Collaterale to the petition submitted by the Università of Pozzuoli to be exempted from the harassment of the tax collector who wanted to collect the new tax. The measure took into account the state of calamity and necessity invoked by the community, according to which the payment of an extraordinary tax would cause their ruin and force them to leave the city. The Consiglio Collaterale therefore ordered the Regia Camera della Sommaria and the collectors of donations to enforce this exemption.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1538-MN-09EA;1538 Monte Nuovo Eruption;Naples, Archivio di Stato di Napoli, Regia Camera Sommaria, Segreteria, Partium, reg. 238, ff. 174v-175v;"Regia Camera della Sommaria; Toledo, Pedro de (Viceroy of Naples)";;1542;Naples;;;Resolution of the Regia Camera della Sommaria to exempt the Università of Pozzuoli from paying the tax due as a subsidy to the soldiers. The text recalls the petition in which the community defined itself as being in a state of poverty and need due to the ruin and damage suffered from the Eruption. This was a grace in addition to the previous exemptions without which residents would not have been able to settle in Pozzuoli.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1538-MN-0A7E;1538 Monte Nuovo Eruption;Naples, Biblioteca della Società Napoletana di Storia Patria, SISMICA, MANOSCRITTI, 7/A3, Colanello Pacca, Discorso del terremoto, 1563-1580, cc. DXXXVI-DXXXVIIII;Pacca, Cola Anello;;1563;Naples;;;Chronicle of the Monte Nuovo Eruption.;;;;;MEMORIA / PASSATO E PRESENTE→Cronologia con altri eventi;
M-1538-MN-0A8F;1538 Monte Nuovo Eruption;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS. XB48, Antonino Castaldo, Diario delle cose occorse in Napoli, ff. 61v-65r;Castaldo, Antonino;;1547;Naples;;;Notary Antonino Castaldo vividly recounted the impact of the Eruption on the people of Naples, describing it as a horrible and miserable spectacle. He cites a fervent sermon by the theologian Fra Angelo of Naples, who interpreted the Eruption as a divine warning against human viciousness. The preacher's message aligned with the increase in devotional processions in Naples after the disaster.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
M-1538-MN-0A98;1538 Monte Nuovo Eruption;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, 830, rubr. E.XXIV.5., cc. 635r-637v;Del Nero, Francesco;Del Benino, Niccolò;1538;Naples;;Florence;Copy of the contents of the letter that Francesco Del Nero, a witness to the 1538 Eruption, wrote to Niccolò del Benino, giving a vivid account of the impact of the disaster. Del Nero, a Florentine businessman and relative of Machiavelli, described the transformation of the once enchanting Pozzuoli into a fiery nightmare. He also expressed his inability to comprehend the immense volume of incandescent materials ejected from the crater in just two days.Del Nero mentioned the scholarly discussions surrounding the event, acknowledging the writings of Simone Porzio and the viceroy Pedro de Toledo's response, which involved digging numerous deep pits to extinguish the fire. Del Nero's letter reflects the popular perception of the Eruption during his time.Del Nero compared the Eruption to a pyrotechnic display at Castel Sant'Angelo, like the one held to celebrate the marriage between Margaret, daughter of Emperor Charles V, and Ottavio Farnese in November 1538, the month after the date of the letter.;Italian;"P-1538-MN-0A96 / 1538 Monte Nuovo Eruption / Lettera di noui avisi de Pezolo et delle bocche del foco nuouamente aparse apresso a Napoli, &amp; de la Pronosticatione di quello et di tutto el Successo insino a questo Giorno Adi XVI d'Ottobre M.D.XXXVIII (Very similar to)";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Le copie manoscritte sono in Biblioteca Nazionale Centrale, Firenze, Gino Capponi CLI, cc. 123v-127v, Archivio Segreto Vaticano, Roma, Arm. XXXII 34, cc. 135v–138r, Harry Ransom Center, Austin, Ranuzzi Family Manuscripts, Ph 12844.54, cc. 183v-185r. Chiedere a Montuori le fotoriproduzioni
M-1538-PE-0375;1538 Pozzuoli Earthquake;Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 9, f. 147r;Consiglio Collaterale;Università of Pozzuoli;1528;Naples;;;Response of the Consiglio Collaterale to the petition formulated by the Università of Pozzuoli. In the petition, reported in the reply, the community represented itself as almost uninhabited and in ruins due to the Earthquakes that struck the Phlegraean area in 1536-1538. The expenses that the city administration had to face in order to materially manage the emergency made it impossible to liquidate the donative established by the Viceroy and the Consiglio Collaterale in the preceding months and for which the Università requested a gracious exemption.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1538-PE-09DC;1538 Pozzuoli Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS. XB48, Antonino Castaldo, Diario delle cose occorse in Napoli, ff. 61r-v;Castaldo, Antonino (Notary);;1547;Naples;;;In his chronicle, the Neapolitan notary Antonino Castaldo describes a Pozzuoli that on Holy Saturday 1538 (20 April) was damaged in its urban buildings by an Earthquake. The notary's narrative, which also describes how people took refuge to sleep in the fields, focuses on the reaction of collective fear triggered by the telluric violence.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Orrore, meraviglia;
M-1539-AN-0376;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 467, f. 7;Gómez Zagal, Alvar (Stronghold commander);Cobos, Francisco de los (Secretary of Charles V);1539;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;"M-1539-AN-0377 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to); M-1539-AN-0378 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to); M-1539-AN-0379 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)";;;;Zagal courier, Bautista Constantino, is at court
M-1539-AN-0377;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 467, f.8;Gómez Zagal, Alvar (Stronghold commander);Cobos, Francisco de los (Secretary of Charles V);1539;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court
M-1539-AN-0378;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 467, f. 51;Gómez Zagal, Alvar (Stronghold commander);Charles V;1539;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court
M-1539-AN-0379;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 467, f. 73;Gómez Zagal, Alvar (Stronghold commander);Charles V;1539;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court
M-1539-AN-037A;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 464, s.f;Gómez Zagal, Alvar (Stronghold commander);Cobos, Francisco de los (Secretary of Charles V);1539;Annaba;;;Report on the Earthquake damages;Spanish;;;;;
M-1539-AN-037B;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 464, s.f;Gómez Zagal, Alvar (Stronghold commander);Charles V;1539;Annaba;;;Report on the Earthquake damages;Spanish;;;;;
M-1539-AN-037D;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 467, f.22;Vaquer, Miguel (Official);Charles V;1539;Messina;;;Information on his visit to Annaba;Spanish;;;;;
M-1539-AN-037E;1539 Annaba Earthquake;Simancas, Archivo General de Simancas, Estado, 1114, f. 81;Vaquer, Miguel (Official);Charles V;1540;Palermo;;;Latest news on Annaba, including Zagal's death;Spanish;;;;;
M-1542-BA-08C2;1542 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Dietari de l'Antic Consell Barceloní;Consell de Cent;;1542;Barcelona;;;Great storm over Barcelona. The waters burst the doors of the portals and run down the Ramblas towards the sea.;Catalan;;;;;
M-1542-ES-0681;1542 Sicily Earthquake;Simancas, Archivo General de Simancas, Secretarías de Estado, Sicilia, legajo 1116, fol. 6;Tagliavia d'Aragona, Giovanni (captain-general of Sicily);Consejo de Estado;1542;Palermo;;;In this report, sent to the Council of Emperor Charles V, the captain-general gives a very concise account of the serious damage suffered by buildings in about 40 locations.;Spanish;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Invocazione alla divinità;
M-1542-ES-069C;1542 Sicily Earthquake;Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Bartolomeo Terranova, 1542-1545;Terranova, Bartolomeo;;1542;Modica;;;Memory of the Earthquake of 10 December 1542;Latin;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;
M-1542-ES-069D;1542 Sicily Earthquake;Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Pietro Stornello, 1542;Stornello, Pietro;;1542;Modica;;;Memory of the Earthquake of 10 December 1542;Latin;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;
M-1542-ES-069E;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Archivio Gaetani Specchi, b.60, fasc.1;Unknown;;1693;Syracuse ;;;Written on taxation and baronial rights in the 18th century, which records how the public infrastructures had been damaged in the 1693 Earthquake had also been previously destroyed in the 1542 Earthquake and rebuilt by the Casa Baronale.;Italian;;1693 Sicily Earthquake;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1542-ES-069F;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Corporazioni Religiose Soppresse, Monastero della SS.Trinità di Lentini, Deduzioni da titoli autentici in giustificazione che il luogo sottoposto al Monastero della SS.Trinità alla parte di Tramontana, sia quello ove esisteva un tempo il monastero di S.;Unknown;;1800;Syracuse ;;;The 1542 Earthquake destroyed the Santissima Trinità monastery, which was later rebuilt in another location.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;
M-1542-ES-06A0;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.1, c.544;Gonzaga, Ferrante;Università of Syracuse;1543;Palermo;;Syracuse ;Royal order sent to the University of Syracuse concerning the reconstruction of the Cathedral bell tower destroyed by the Earthquake.;;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
M-1542-ES-06A2;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.22;Università of Syracuse;;1545;Syracuse ;;;The University of Syracuse decided to rebuild the bell tower of the Cathedral, which had collapsed in the Earthquake of 10 December 1542, using half of the officers' salaries for three years. Since reconstruction requires a lotfor reconstruction, it was decided to extend the withholding of half of the officers' salaries for another three years.;Latin;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
M-1542-ES-06A3;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.38;Gonzaga, Ferrante (Viceroy of Sicily);Università of Syracuse;1545;Palermo;;Syracuse ;Royal Order sent to the University of Syracuse for the reconstruction of the Cathedral bell tower, the Arethusa fountain and the drinking trough destroyed by the Earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;Regesto del documento: Visto il consiglio dell’Università di Siracusa del 19 aprile 1545, in cui viene deliberata la somma necessaria per la / ricostruzione del campanile della Cattedrale crollato a causa del terremoto del 10 dicembre 1542, si ritiene tale / ricostruzione necessaria per il decoro della città e dei suoi cittadini. Considerata, inoltre, la necessità di ulteriore / denaro, si concede che venga prelevato dai salari degli ufficiali per altri tre anni, e che venga utilizzato per la / ricostruzione del campanile, della fontana aretusa e dell’abbeveratoio cittadino.
M-1542-ES-06A4;1542 Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.59;Università of Syracuse;;1547;Syracuse ;;;The Università of Syracuse's petition for the reconstruction of the Cathedral bell tower destroyed by the Earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
M-1542-ES-06A5;1542 Sicily Earthquake;Caltagirone, Biblioteca Comunale E.Taranto' di Caltagirone, Liber privilegiorum capitulorum gratiarum immunitatum et consuetudinum civitatis gratissimae Calathaieronis, vol. 1, ff. 358-360';Silvestro, Gaspare de;"Bubei, Biagio (City Juror); Albergini, Giacomo (City Juror); Areni, Giovanni (City Juror); Marcafava, Antonutto (City Juror)";1543;Caltagirone;;;Chronicle of the Earthquake of 10 December 1542;Latin;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
M-1542-ES-06A6;1542 Sicily Earthquake;Palermo, Biblioteca Comunale di Palermo, Manoscritti, Qq D 98, Diari palermitani, tomo 6, Diario palermitano di Valerio Rosso dal 1583 fino al 1603 e poi dal 1506 al 1603, copia 1670;Rosso, Valerio;;1583;Palermo;;;The chronicle of how the Earthquake that hit the eastern part of Sicily was also felt in Palermo.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;
