Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
M-1646-ME-03D8;1646 Mexico City Earthquake;Seville, Archivo General de Indias, México, 36, n. 7.;Sarmiento de Sotomayor, García (Count of Salvatierra, Viceroy of New Spain);Philip IV;1646;Mexico City;1647;Madrid;Report on the Earthquake;Spanish;;;;;
M-1647-SA-03D9;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 4, n. 17, ff. 92r-95v;Audiencia of Santiago de Chile;Mújica, Martín de (Chile's Governor);1647;Santiago de Chile;1647;;Report on the effects of the Santiago Earthquake;Spanish;;;;;
M-1647-SA-03DA;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol.4, n. 19, ff. 100r-103v;Ozerin, Hernando de;Villagómez y Vivanco, Pedro de ;1647;Cuzco;;Lima;Report on the religious rituals celebrated in Cuzco to appease the divine wrath on the occasion of Santiago's Earthquake;Spanish;;;;;
M-1647-SA-03DB;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 4, n. 20, ff. 104r-105v;Solórzano, Juan de;Ovalle, Alonso de;1649;Madrid;;;Solorçano's explanation about why the prohibition to foreigners to go to the Indies can not be applied to jesuits who are required for the reconstruction of Santiago after the Earthquake;Spanish;;;;;
M-1647-SA-03DC;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 5, ff. 69v-71v;Rada, Andrés de;"San Miguel College's Rector; consultors in Santiago de Chile";1665;Santiago de Chile;;Rome;Andrés de Rada's instructions to rebuild the jesuit church destroyed by the Santiago's Earthquake;Spanish;;;;;
M-1647-SA-03DD;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 6, ff. 203r-233r;Pacheco, Luis;Carafa, Vincenzo (Father General);1648;Santiago de Chile;;Rome;Annual letter referred to Chile vice province from 1647 to 1648 in which Pacheco narrates the state of Santiago after the Earthquake and the miracles and the religious rituals developped;Spanish;;;;;
M-1647-SA-03DE;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 6, f.251r-272v;Pacheco, Luis;Carafa, Vincenzo (Father General);1649;Concepcion;;Rome;"Annual letter referred to Chile vice Province for 1649 in which Pacheco give details about: the reconstruction of the jesuit church in Santiago after the Earthquake; the celebration of an 'octavario' to atone for an eretic act took place in Quito; the spreading devotion to San Francesco Javier (named the patron saint of Mendoza)";Spanish;;;;;
M-1647-SA-03DF;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 6, ff. 285r-320v;Rosales, Diego de;Oliva, Juan Pablo (Father General);1663;Santiago de Chile;;Rome;Annual letter referred to Chile vice Province in which De Rosales narrates the progress of the reconstruction work of the jesuit college of Santiago after its destruction by the 1647 Earthquake. He spells out details about the means used for this purpose such as the building materials or the labor employed;Spanish;;;;;
M-1647-SA-03E0;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 6, ff. 322r-351r;Ferreira, Francisco;De Noyelle, Charles (Father General);1684;Santiago de Chile;;Rome;Annual letter referred to Chile vice province from 1676 to 1684 that informed about the works of reconstruction of the jesuit church in Santiago. They were made possible thanks to people, money and raw materials provided by the governor of Chile and the current provincial father Francesco Ferreira SJ;Spanish;;;;;
M-1647-SA-03E1;1647 Santiago Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Peruana, vol. 15, ff. 213-226r;Lupercio de Zurbano, Francisco;Father General Vincenzo Carafa;1648;;;Rome;Annual letter referred to Peru Province in which Lupercio de Zurbano narrates the reactions of the Peruvian populations when they learned of the Santiago Earthquake of 1647: in Cuzco various religious rituals took place and in Chuquisaca and Potosi San Francisco Javier was declared patron.;Spanish;;;;;
M-1647-SA-03E2;1647 Santiago Earthquake;Seville, Archivo General de Indias, Chile, 11, R. 8, N. 55;Polanco de Santillana, Nicolás (Oidor);Philip IV;1647;Santiago de Chile;;Madrid;First measures applied by the oidor Polanco after Santiago Earthquake, description of the effects of the Earthquake on Indians and of the Polanco's efforts to convince the popolation not to leave the city.;Spanish;;;;;
M-1647-SA-03E3;1647 Santiago Earthquake;Seville, Archivo General de Indias, Chile, 12, R. 8, N. 92;Polanco de Santillana, Nicolás (Oidor);Philip IV;1648;Santiago de Chile;;Madrid;Polanco reports he has written a book in Latin about how officials and judges in Indias should act in the face of calamities. He refers too that it was held a 'cabildo abierto' to decide to leave the city but he persuade people not to do so.;Spanish;;;;;
M-1647-SA-03E4;1647 Santiago Earthquake;Seville, Archivo General de Indias, Chile, 12, R. 2, N. 36;Polanco de Santillana, Nicolás (Oidor);Philip IV;1649;Santiago de Chile;;Madrid;Polanco explains why he hasn't sent his book about how to act in the face of calamities. He claims that he has been busy writing the 'residencia' of Pedro Goncales, but he assures that the bishop, the 'Real Audiencia' and the 'cabildo' certified the existence of the work.;Spanish;;;;;
M-1647-SA-03E5;1647 Santiago Earthquake;Seville, Archivo General de Indias, Chile, 12, R. 5, N. 67;Polanco de Santillana, Nicolás (Oidor);Philip IV;1652;Santiago de Chile;;Madrid;Polanco complaints to the king that he was deprived of the post of Las Charcas' fiscal in Lima. He refers all his merits that made him deserving of the position he had been promised: several books (not copied yet because of the lack of people who could do it) and his acts after the Santiago Earthquake in 1647. One of these books was that aimed to judges and governors to guide their actions after a calamity.;Spanish;;;;;
M-1647-SA-03E6;1647 Santiago Earthquake;Seville, Archivo General de Indias, Chile, 13, R. 11, N. 87;Polanco de Santillana, Nicolás (Oidor);Philip IV;1657;;;;Polanco refers that the person in charge of rebuilding the cathedral fallen down by the Santago Earthquake when there isn't a governor is the Real Audiencia's most senior oidor. In other words, Polanco. He complaints that the Real Audiencia has stopped him. According to the Real Audiencia, it is she who has to take care of this task.;Spanish;;;;;
M-1648-MA-03E7;1648 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 2, n. 103;Consejo de Indias;Philip IV;1649;Madrid;;;Debate on Manila's requests;Spanish;;;;;
M-1648-MA-03E8;1648 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 77, n. 67.;"Cabildo eclesiástico of Manila; Dean of Manila";Consejo de Indias;1648;Manila;1649;Madrid;Request for information on city conditions;Spanish;;;;;Bad condition of cathedral
M-1648-MA-03E9;1648 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 31, 16, f. 1;"Castellan; officials";Philip IV;1649;Acapulco;1649;Madrid;Information on the conditions in the city in the aftermath of the disaster;Spanish;;;;;
M-1650-CU-03EA;1650 Cuzco Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Peruana, vol. 15, ff. 248r-258v;Recalde, Bartolomé de;PIccolomini, Francesco (Father General);1651;Lima;;Rome;Annual letter referred to Peruvian Province in which Recalde tells some the events concerning the Cuzco Earthquake.;Latin;;;;;
M-1650-CU-03EB;1650 Cuzco Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Peruana, vol. 20, ff. 110r-119v;Córdoba, Juan de;Ocón, Juan Alonso de (Cuzco's bishop);;Cuzco;;Lima;Copy of a letter about Cuzco Earthquake;Spanish;;;;;
M-1650-CU-03EC;1650 Cuzco Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Peruana, vol.20, ff.120r-123v;Córdoba, Juan de;Ocón, Juan Alonso de (Cuzco's bishop);;Cuzco;;Lima;Copy of the second letter sent to Cuzco's bishop about Cuzco Earthquake;Spanish;;;;;
M-1650-CU-03ED;1650 Cuzco Earthquake;Seville, Archivo General de Indias, Lima, 306;Ocón, Juan Alonso de (Cuzco's bishop);Philip IV;1651;Cuzco;;Madrid;In the letter, the bishop describes the state of the reconstruction work on the church in Cuzco after the Earthquake. This had caused the destruction of the transept vault. The bishop stated that the work would be finished in four years.;Spanish;;;;;
M-1650-CU-03EE;1650 Cuzco Earthquake;Seville, Archivo General de Indias, Lima, 306;Ocón, Juan Alonso de (Cuzco's bishop);Philip IV;1653;Cuzco;;Madrid;In the letter, the bishop attributes the great progress in the reconstruction of the Earthquake-damaged cathedral firstly to the assistance of the king and secondly to the priest of Urubamba, Diego Arias de la Cerda. The latter is said to have contributed his own estate to the work.;Spanish;;;;;
M-1650-CU-0837;1650 Cuzco Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, 9/3702(130);Unknown;;1650;Unknown;;;Report of the public prayers in the city of Cuzco after the Earthquake of 1650;Spanish;;1647 Santiago Earthquake;;INTERPRETAZIONE→Punizione per i peccati degli uomini;
M-1650-VE-03EF;1650 Vesuvius Eruption;Naples, Biblioteca della Società Napoletana di Storia Patria, Manoscritti, XXIII D 14, La Notitia di quanto è occorso in Napoli (1648-1669), vol. I, f. 31;Rubino, Andrea;;1650;Naples;;;In his handwritten journal (La Notitia, vol. I, now digitized and accessible online), Andrea Rubino notes that, after two-month tremors, the Vesuvius erupts and throws out volcanic ashes;Italian;;;http://rubino.polodigitalenapoli.it/consulta.php;;
M-1654-CM-03F1;1654 Ciociaria Earthquake;Naples, Biblioteca della Società Napoletana di Storia Patria, Manoscritti, XXIII D 14, La Notitia di quanto è occorso in Napoli (1648-1669), vol. I, ff. 145-146;Rubino, Andrea;;1654;Naples;;;In his handwritten journal (La Notitia, vol. I, now digitized and accessible online), Andrea Rubino notes that strong Earthquake tremors were felt in Naples, causing panic and fear among the population, but no serious damagaes. It was later learned that some villages and towns in Terra di Lavoro, such as Sora, Casale, Isola, Casalvieri, Alvito, Piedimonte, Fontana and Belmonte, were seriously damaged and about 2500 people died;Italian;;;http://rubino.polodigitalenapoli.it/consulta.php;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
M-1654-CM-03F2;1654 Ciociaria Earthquake;Vatican City, Biblioteca Apostolica Vaticana, Manoscritti, Barberiniani Latini, 4336, Relazione delli danni fatti dal terremoto seguito la notte delli 23 del cadente mese di luglio 1654;Unknown;Unknown;1654;;;Rome;A brief, yet detailed report on damages and victimes town by town (Isola, Arpino, Castelluccio, Arcia, Perchiosolido, Casa Aliviero, Balsero) in the Terra di Lavoro Province, Kingdom of Naples;Italian;;;http://storing.ingv.it/cfti/cfti5/quake.php?01007IT;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
M-1654-CM-03F3;1654 Ciociaria Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, vol. 52, ff. 64-68;Boncompagni Ludovisi, Ugo (Duke of Sora);Avellaneda y Haro, García de (Viceroy of Naples, Count of Castrillo);1654;Isola Liri;;Naples;"The (first) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. The Duke was the feudal lord of some of the affected towns and villages and reports the victims and damamages occurred in the affected places; then on behalf of his subjects, he begs the Viceroy to grant tax relief to the inhabitants of the places concerned";Italian;"M-1654-CM-03F4 / 1654 Ciociaria Earthquake / The (second) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. As the feudal lord of some of the affected towns and villages, the Duke attaches a more detailed report on damages and victimes in the towns affected by the Earthquake; M-1654-CM-03F5 / 1654 Ciociaria Earthquake / Having taken into account the information given by the Duke of Sora through the Viceroy, the Camera della Sommaria suggests the following decision: 'Et il tutto proposto in questo Tribunale l’infratto dì, ha parso di questa Regia Camera che si pigli informatione da persona destinanda da V.E. più destinta; del successo di detti terremoti; con vedere quali terre hanno patito più de l’altre; perché si possa procedere conforme al danno; et fra tanto l’Ecc.a Sua potrà restar servita di comandare non si molestassero le Terre predette che hanno patito per il detto terremoto per lo spatio di quattro mesi così per lo debito passato come per quello che anderà correndo non solo per lo che deveno alla Regia Corte, ma ancora per lo che devieno à conti di fiscali Instrumentarij et altri qualsisiano creditori per qualsivoglia causa'";;http://storing.ingv.it/cfti/cfti5/quake.php?01007IT;INTERPRETAZIONE→Punizione per i peccati degli uomini;
M-1654-CM-03F4;1654 Ciociaria Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, vol. 52, cc.64-68;Boncompagni Ludovisi, Ugo (Duke of Sora);Avellaneda y Haro, García de (Viceroy of Naples, Count of Castrillo);1654;Isola Liri;;Naples;The (second) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. As the feudal lord of some of the affected towns and villages, the Duke attaches a more detailed report on damages and victimes in the towns affected by the Earthquake;Italian;"M-1654-CM-03F3 / 1654 Ciociaria Earthquake / The (first) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. The Duke was the feudal lord of some of the affected towns and villages and reports the victims and damamages occurred in the affected places; then on behalf of his subjects, he begs the Viceroy to grant tax relief to the inhabitants of the places concerned; M-1654-CM-03F5 / 1654 Ciociaria Earthquake / Having taken into account the information given by the Duke of Sora through the Viceroy, the Camera della Sommaria suggests the following decision: 'Et il tutto proposto in questo Tribunale l’infratto dì, ha parso di questa Regia Camera che si pigli informatione da persona destinanda da V.E. più destinta; del successo di detti terremoti; con vedere quali terre hanno patito più de l’altre; perché si possa procedere conforme al danno; et fra tanto l’Ecc.a Sua potrà restar servita di comandare non si molestassero le Terre predette che hanno patito per il detto terremoto per lo spatio di quattro mesi così per lo debito passato come per quello che anderà correndo non solo per lo che deveno alla Regia Corte, ma ancora per lo che devieno à conti di fiscali Instrumentarij et altri qualsisiano creditori per qualsivoglia causa'";;http://storing.ingv.it/cfti/cfti5/quake.php?01007IT;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1654-CM-03F5;1654 Ciociaria Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, vol. 52, ff. 64-68;Camera della Sommaria;Avellaneda y Haro, García de (Viceroy of Naples, Count of Castrillo);1654;Naples;;Naples;"Having taken into account the information given by the Duke of Sora through the Viceroy, the Camera della Sommaria suggests the following decision: 'Et il tutto proposto in questo Tribunale l’infratto dì, ha parso di questa Regia Camera che si pigli informatione da persona destinanda da V.E. più destinta; del successo di detti terremoti; con vedere quali terre hanno patito più de l’altre; perché si possa procedere conforme al danno; et fra tanto l’Ecc.a Sua potrà restar servita di comandare non si molestassero le Terre predette che hanno patito per il detto terremoto per lo spatio di quattro mesi così per lo debito passato come per quello che anderà correndo non solo per lo che deveno alla Regia Corte, ma ancora per lo che devieno à conti di fiscali Instrumentarij et altri qualsisiano creditori per qualsivoglia causa'";Italian;"M-1654-CM-03F3 / 1654 Ciociaria Earthquake / The (first) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. The Duke was the feudal lord of some of the affected towns and villages and reports the victims and damamages occurred in the affected places; then on behalf of his subjects, he begs the Viceroy to grant tax relief to the inhabitants of the places concerned; M-1654-CM-03F4 / 1654 Ciociaria Earthquake / The (second) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. As the feudal lord of some of the affected towns and villages, the Duke attaches a more detailed report on damages and victimes in the towns affected by the Earthquake";;http://storing.ingv.it/cfti/cfti5/quake.php?01007IT;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1655-LI-03F6;1655 Lima Earthquake;Seville, Archivo General de Indias, Lima, 59, Cartas y expedientes de virreyes de Perú, exp. 4;Enríquez de Guzmán, Luis, duke of Alba (Viceroy of Peru, Count of Alba);Consejo de Indias;1656;Lima;;Madrid;The viceroy reports the victims of the Earthquake of 13 November 1655, the damages to some buildings and the reaction of the inhabitants. Eventually, he adds that in the following months there were strong sea storms that damaged the defences of the Callao port;Spanish;M-1655-LI-03F7 / 1655 Lima Earthquake / in compliance with royal orders prescribing the reinforcement of the ramparts in the port of Callao, the viceroy confirms that he has begun consolidation work because the walls had been damaged by the previous year's Earthquake and severe sea storms (This document is mentioned in);;;;
M-1655-LI-03F7;1655 Lima Earthquake;Seville, Archivo General de Indias, Lima, 58, Cartas y expedientes de virreyes de Perú, exp. 36;Enríquez de Guzmán, Luis, duke of Alba (Viceroy of Peru, Count of Alba);Consejo de Indias;1656;Lima;;Madrid;in compliance with royal orders prescribing the reinforcement of the ramparts in the port of Callao, the viceroy confirms that he has begun consolidation work because the walls had been damaged by the previous year's Earthquake and severe sea storms;Spanish;M-1655-LI-03F6 / 1655 Lima Earthquake / The viceroy reports the victims of the Earthquake of 13 November 1655, the damages to some buildings and the reaction of the inhabitants. Eventually, he adds that in the following months there were strong sea storms that damaged the defences of the Callao port (This document mentions);;;;
M-1655-LI-0838;1655 Lima Earthquake;Seville, Biblioteca Capitular y Colombina, 59-5-24, ff. 246r.-247v;Unknown;;1655;Lima;;;Relation of the Earthquake in Lima on Saturday 13th November 1655 and of  the more of 150 Earthquakes that repeatedly occurred those days;Spanish;;;;;
M-1655-LI-08F6;1655 Lima Earthquake;Seville, Archivo General de Indias, Lima 61, Cartas y expedientes de virreyes de Perú;Enríquez de Guzmán, Luis, duke of Alba;"Consejo de Indias; Benavides, Diego de, Count of Santisteban (Viceroy of Peru appointed)";1662;Lima;;Madrid;In his end-of-term report, addressed both to his successor and to the Council of the Indies, the Viceroy mentions three times the damages caused by the Earthquake to the wall that served as a defence for the port of Callao, and gives updates on the reconstruction works and on the financial resources needed ;Spanish;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
M-1657-CO-03F8;1657 Concepción Earthquake;Rome, Archivum Romanum Societatis Jesu, Provincia Chilensis, vol. 6, ff. 273r-284v;Albiz, Juan de;Nickel, Goswino (Father General);1659;Santiago de Chile;;Rome;Annual letter referred to Chile vice province from 1657 to 1659 in which Albiz narrates briefly some of the effects of the Concepcion Earthquake on the city;Spanish;;;;;
M-1658-MA-03F9;1658 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 77, n. 73;Cabildo eclesiástico of Manila;Philip IV;1659;Manila;;Madrid;Reference to previous Manila Earthquake;Spanish;;;;;
M-1658-MA-03FA;1658 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 81, n. 93;Santa Monica, Cristóbal de;Consejo de Indias;;Manila;1666;Madrid;Report on the damage occurred to the monastery after Earthquakes;Spanish;;;;;Several Earthquakes occurred in the New World are mentioned
M-1659-CA-03FB;1659 Calabria Earthquake;Simancas, Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Bracamonte Guzmán, Gaspar de, Count of Peñaranda (Viceroy of Naples, Count of Peñaranda);Philip IV;1659;Naples;1660;Madrid;Report on Calabria Earthquake, transmission news from Calabria to Naples;Spanish;"M-1659-CA-03FC / 1659 Calabria Earthquake / Report of damages in Calabria Ultra Cities and Towns (This document includes); M-1659-CA-03FD / 1659 Calabria Earthquake / Report about damages in Calabrian Convent, San Domenico Soriano (This document includes); M-1659-CA-03FE / 1659 Calabria Earthquake / Debate about news by Viceroy of Naples on Calabria Earthquake (This document is mentioned in)";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1659-CA-03FC;1659 Calabria Earthquake;Simancas, Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Secretaries of Neapolitan court;Philip IV;1659;Naples;1660;Madrid;Report of damages in Calabria Ultra Cities and Towns;Spanish;"M-1659-CA-03FB / 1659 Calabria Earthquake / Report on Calabria Earthquake, transmission news from Calabria to Naples (This document is included in); M-1659-CA-067E / 1659 Calabria Earthquake / Written advice from the Council of Italy on post-Earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano. The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy. However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances (This document is mentioned in)";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Secretaries' copy. It's a list on dameges city by city
M-1659-CA-03FD;1659 Calabria Earthquake;Simancas, Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Secretaries of Neapolitan court;Philip IV;1659;Naples;1660;Madrid;Report about damages in Calabrian Convent, San Domenico Soriano;Spanish;"M-1659-CA-03FB / 1659 Calabria Earthquake / Report on Calabria Earthquake, transmission news from Calabria to Naples (This document is included in); M-1659-CA-067E / 1659 Calabria Earthquake / Written advice from the Council of Italy on post-Earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano. The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy. However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances (This document is mentioned in)";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Secretaries' copy
