Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
_M-1539-AN-0376_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f. 7_;_Gómez Zagal, Alvar_;_Cobos, Francisco de los_;_1539-02-19_;_Annaba_;__;__;_Letter on Annaba's general reality, reference to Earthquake_;_Spanish_;_M-1539-AN-0377 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);M-1539-AN-0378 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);M-1539-AN-0379 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)_;__;__;__;_Zagal courier, Bautista Constantino, is at court_
_M-1539-AN-0377_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f.8_;_Gómez Zagal, Alvar_;_Cobos, Francisco de los_;_1539-02-19_;_Annaba_;__;__;_Letter on Annaba's general reality, reference to Earthquake_;_Spanish_;_M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)_;__;__;__;_Zagal courier, Bautista Constantino, is at court_
_M-1539-AN-0378_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f. 51_;_Gómez Zagal, Alvar_;_Charles V_;_1539-02-19_;_Annaba_;__;__;_Letter on Annaba's general reality, reference to Earthquake_;_Spanish_;_M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)_;__;__;__;_Zagal courier, Bautista Constantino, is at court_
_M-1539-AN-0379_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f. 73_;_Gómez Zagal, Alvar_;_Charles V_;_1539-02-19_;_Annaba_;__;__;_Letter on Annaba's general reality, reference to Earthquake_;_Spanish_;_M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)_;__;__;__;_Zagal courier, Bautista Constantino, is at court_
_M-1539-AN-037A_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 464, s.f_;_Gómez Zagal, Alvar_;_Cobos, Francisco de los_;_1539-02-28_;_Annaba_;__;__;_Report on the earthquake damages_;_Spanish_;__;__;__;__;__
_M-1539-AN-037B_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 464, s.f_;_Gómez Zagal, Alvar_;_Charles V_;_1539-02-28_;_Annaba_;__;__;_Report on the earthquake damages_;_Spanish_;__;__;__;__;__
_M-1539-AN-037C_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f. 75_;_Imperial court secretaries_;_Charles V_;_1539-04-14_;_Imperial court_;__;__;_Overview of news from Annaba_;_Spanish_;__;__;__;__;__
_M-1539-AN-037D_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 467, f.22_;_Vaquer, Miguel_;_Charles V_;_1539-07-31_;_Messina_;__;__;_Information on his visit to Annaba_;_Spanish_;__;__;__;__;__
_M-1539-AN-037E_;_1539 Annaba Earthquake_;_Archivo General de Simancas, Estado, 1114, f. 81_;_Vaquer, Miguel_;_Charles V_;_1540-12-22_;_Palermo_;__;__;_Latest news on Annaba, including Zagal's death_;_Spanish_;__;__;__;__;__
_M-1542-ES-0681_;_1542 Eastern Sicily Earthquake_;_Simancas, Archivo General de Simancas, Secretarías de Estado, Sicilia, legajo 1116, fol. 6_;_Tagliavia d'Aragona, Giovanni_;_Consejo de Estado_;_1542-12-20_;_Palermo_;__;__;_In this report, sent to the Council of Emperor Charles V, the captain-general gives a very concise account of the serious damage suffered by buildings in about 40 locations._;_Spanish_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Invocazione alla divinità_;__
_M-1542-ES-0696_;_1542 Eastern Sicily Earthquake_;_Palermo, Archivio di Stato di Palermo, Segretari del regno, Ramo del protonotaro, Lettere, vol.30 (1546-1550)_;_Gonzaga, Ferrante_;_Charles V_;_1546-05-10_;_Palermo_;__;_Imperial court_;_The Viceroy warns that the association in the Prammatica between earthquake and sin is the cause of much unrest in the Kingdom. The Viceroy reiterates that the sovereign has already been informed of the natural nature of earthquakes._;_Italian_;__;__;__;_INTERPRETAZIONE→Aristotelismo/tomismo_;__
_M-1542-ES-069C_;_1542 Eastern Sicily Earthquake_;_Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Bartolomeo Terranova, 1542-1545_;_Terranova, Bartolomeo_;__;_1542-11-1542-12_;_Modica_;__;__;_Memory of the earthquake of 10 December 1542_;_Latin_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-069D_;_1542 Eastern Sicily Earthquake_;_Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Pietro Stornello, 1542_;_Stornello, Pietro_;__;_1542_;_Modica_;__;__;_Memory of the earthquake of 10 December 1542_;_Latin_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-069E_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Archivio Gaetani Specchi, b.60, fasc.1_;_Unknown_;__;_after 1693_;_Syracuse _;__;__;_Written on taxation and baronial rights in the 18th century, which records how the public infrastructures had been damaged in the 1693 earthquake had also been previously destroyed in the 1542 earthquake and rebuilt by the Casa Baronale._;_Italian_;__;_1693 Eastern Sicily Earthquake_;__;_RISPOSTE ISTITUZIONALI→Sgravi fiscali_;__
_M-1542-ES-069F_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Corporazioni Religiose Soppresse, Monastero della SS.Trinità di Lentini, Deduzioni da titoli autentici in giustificazione che il luogo sottoposto al Monastero della SS.Trinità alla parte di Tramontana, sia quello ove esisteva un tempo il monastero di S._;_Unknown_;__;_after 1800_;_Syracuse _;__;__;_The 1542 earthquake destroyed the Santissima Trinità monastery, which was later rebuilt in another location._;_Italian_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-06A0_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.1, c.544_;_Gonzaga, Ferrante_;_Università of Syracuse_;_1543-04-18_;_Palermo_;__;_Syracuse _;_Royal order sent to the University of Syracuse concerning the reconstruction of the Cathedral bell tower destroyed by the earthquake._;__;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;__
_M-1542-ES-06A2_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.22_;_Università of Syracuse_;__;_1545-04-19_;_Syracuse _;__;__;_The University of Syracuse decided to rebuild the bell tower of the Cathedral, which had collapsed in the earthquake of 10 December 1542, using half of the officers' salaries for three years. Since reconstruction requires a lotfor reconstruction, it was decided to extend the withholding of half of the officers' salaries for another three years._;_Latin_;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;__
_M-1542-ES-06A3_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.38_;_Gonzaga, Ferrante_;_Università of Syracuse_;_1545-05-20_;_Palermo_;__;_Syracuse _;_Royal Order sent to the University of Syracuse for the reconstruction of the Cathedral bell tower, the Arethusa fountain and the drinking trough destroyed by the earthquake._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;_Regesto del documento:&nbsp;Visto il consiglio dell’Università di Siracusa del 19 aprile 1545, in cui viene deliberata la somma necessaria per la ricostruzione del campanile della Cattedrale crollato a causa del terremoto del 10 dicembre 1542, si ritiene tale ricostruzione necessaria per il decoro della città e dei suoi cittadini. Considerata, inoltre, la necessità di ulteriore denaro, si concede che venga prelevato dai salari degli ufficiali per altri tre anni, e che venga utilizzato per la ricostruzione del campanile, della fontana aretusa e dell’abbeveratoio cittadino._
_M-1542-ES-06A4_;_1542 Eastern Sicily Earthquake_;_Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.59_;_Università of Syracuse_;__;_1547-08-26_;_Syracuse _;__;__;_The Università of Syracuse's petition for the reconstruction of the Cathedral bell tower destroyed by the earthquake._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica_;__
_M-1542-ES-06A5_;_1542 Eastern Sicily Earthquake_;_Caltagirone, Biblioteca Comunale 'E.Taranto' di Caltagirone, Liber privilegiorum capitulorum gratiarum immunitatum et consuetudinum civitatis gratissimae Calathaieronis, vol. 1, ff. 358-360_;_Silvestro, Gaspare de_;_Bubei, Biagio; Albergini, Giacomo; Areni, Giovanni; Marcafava, Antonutto_;_1543-01-10_;_Caltagirone_;__;__;_Chronicle of the earthquake of 10 December 1542_;_Latin_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento_;__
_M-1542-ES-06A6_;_1542 Eastern Sicily Earthquake_;_Palermo, Biblioteca Comunale di Palermo, Manoscritti, Qq D 98, Diari palermitani, tomo 6, Diario palermitano di Valerio Rosso dal 1583 fino al 1603 e poi dal 1506 al 1603, copia 1670_;_Rosso, Valerio_;__;_1583-1603 Copy 1670_;_Palermo_;__;__;_The chronicle of how the earthquake that hit the eastern part of Sicily was also felt in Palermo._;_Italian_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-06A7_;_1542 Eastern Sicily Earthquake_;_Naples, Biblioteca della Società Napoletana di Storia Patria, Fondo sismico, 7/A3, Colanello Pacca, Discorso del terremoto, 1563-1580, cc. DXLIII-DXLIIII_;_Pacca, Cola Anello_;__;_1563-1580_;_Naples_;__;__;_Chronicle of the earthquake damage to the city of Lentini._;_Italian_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-06A8_;_1542 Eastern Sicily Earthquake_;_Messina, Biblioteca Regionale di Messina, Sala Rari, F.V. 94-96, Memorie istoriche di Sicilia, 3 voll, ms. sec.XVIII_;_Unknown_;__;_after 1700_;_Messina_;__;__;_Memory of the earthquakes that afflicted the government of Viceroy Gonzaga, during which the fortifications in particular were damaged._;_Italian_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-06A9_;_1542 Eastern Sicily Earthquake_;_Acireale, Biblioteca Zelantea di Acireale, Manoscritti, III.C.7.29 (B.27), F. Sclafani, Compendio Historico di Sicilia_;_Sclafani, Francesco_;__;_before 1647_;_Unknown_;__;__;_Memory of the 1542 earthquakes that damaged many buildings in the eastern cities of Sicily. _;_Italian_;__;__;__;_MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento_;__
_M-1542-ES-06AA_;_1542 Eastern Sicily Earthquake_;_Catania, Biblioteca Comunale di Catania_;_Unknown_;__;_1515-1574 ed. 1902_;_Catania_;__;__;_Chronicle of the earthquakes that struck eastern Sicily in 1542, with particular attention to the destruction of religious buildings and the devotional reaction of the population._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento_;__
_M-1542-ES-06AC_;_1542 Eastern Sicily Earthquake_;_Jerusalem, The Jewish National and University Library, Epistolar collection KM 55_;_Ha-Cohen, Joseph ben Yehoshua_;_Ha-Cohen, Isaac_;_after 1542-12-10_;__;__;__;_Report of the strong earthquake in Sicily, around Syracuse. It razed large and mighty buildings to the ground and turned them into lakes of water. The dead numbered around twenty thousand. The destruction was considered a divine punishment._;__;__;__;__;_INTERPRETAZIONE→Punizione per i peccati degli uomini_;__
_M-1542-ES-06B5_;_1542 Eastern Sicily Earthquake_;_Unknown_;_Lacisio, Paolo_;_Amerbach, Bonifacius_;_1543-03-07_;_Strsbourg _;__;_Basel_;_The author reports that Sicily was shaken by an earthquake so great and so horrendous that the two famous cities of Catania and Syracuse were largely destroyed. Augusta, on the other hand, was almost submerged by the sea, along with countless unnamed towns._;_Latin_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;_https://core.ac.uk/download/pdf/33302043.pdf<br>https://storing.ingv.it/cfti/cfti5/pdf_T/003003-145051_T.pdf_
_M-1542-ES-06B7_;_1542 Eastern Sicily Earthquake_;_Palermo, Archivio di Stato di Palermo, Real cancelleria, vol.327 (1542-1543)_;_Cardona, Alfonso_;_Moncada, Francesco_;_1542-12-27_;_Palermo_;__;__;_Appointment of Moncada as the city's vicar and captain of arms to lead the population back to Syracuse._;_Italian_;__;__;__;_RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro_;_Recuperare il documento o una trascrizione di esso._
_M-1557-PA-037F_;_1557 Palermo Flood_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-60, ff 160-161, 163_;_De Aragona Tagliavia, Carlo_;_Perrenot de Granvelle, Antoine_;_1557-10-08_;_Messina_;_1557-11-30_;_Brussels_;_Handwritten letter containing some concise news about Sicily and the actions undertaken by Ottoman flotillas, and a quick mention of the Palermo flood. Attached to the letter is a copy of a handwritten report, entitled 'Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', sent from Palermo to Carlo De Aragona on September 27_;_Italian_;_M-1557-PA-0380 / 1557 Palermo Flood / Handwritten report entitled 'Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', from Palermo. The report describes the event, the damages and the victims in a fairly aseptic but detailed manner (This document includes)_;__;__;__;__
_M-1557-PA-0380_;_1557 Palermo Flood_;_Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-60, ff 160-163_;_Unknown_;_De Aragona Tagliavia, Carlo_;_1557-09-27_;_Palermo_;__;_Messina_;_Handwritten report entitled 'Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', from Palermo. The report describes the event, the damages and the victims in a fairly aseptic but detailed manner_;_Italian_;_M-1557-PA-037F / 1557 Palermo Flood / Handwritten letter containing some concise news about Sicily and the actions undertaken by Ottoman flotillas, and a quick mention of the Palermo flood. Attached to the letter is a copy of a handwritten report, entitled 'Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', sent from Palermo to Carlo De Aragona on September 27 (This document is included in)_;__;__;__;__
_M-1560-CA-0381_;_1560 Catalonia Earthquake_;_Arxiu Municipal de València, Pregones o crides, x.x-1, ff. 138v-139v_;_Cabildo of Valencia_;__;_1560_;_Valencia_;__;__;_Municipal proclamation on procession against Catalan earthquake_;_Catalan_;__;__;__;__;__
_M-1568-NG-0382_;_1568 New Galicia Earthquake_;_Seville, Archivo General de Indias, Guadalajara, 51, l. 1, n. 132, ff. 418v-419r_;_Ayala, Pedro de_;_Philip II_;_1568-03-09_;_Guadalajara_;__;__;_Report on the Northern frontier, including information on an earthquake_;_Spanish_;__;__;__;__;__
_M-1570-FE-0383_;_1570 Ferrara Earthquake_;_Archivo General de Simancas, Estado, 1399, f. 118_;_Guzmán de Silva, Diego_;_Philip II_;_1570-12-14_;_Genoa_;_1571-01-02_;_Madrid_;_News on the Ferrara earthquake_;_Spanish_;__;__;__;__;__
_M-1575-VL-0667_;_1575 Valdivia earthquake_;_Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584_;_Vázquez de Espinosa, Antonio_;__;_ca. 1628 It was finished around that time_;__;__;__;_On p. 475, the author claims that the earthquake caused a saw to fall into the course of the mighty Valdivia River. The event blocked the course of the river until it overflowed. It was so violent that once it flowed into the sea, it managed to push many ships that were near the port out to sea._;_Spanish_;__;_1582 Arequipa Earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption;1619 Trujillo Earthquake_;_https://repository.si.edu/handle/10088/23742_;__;__
_M-1582-AE-0384_;_1582 Arequipa Earthquake_;_Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima_;_Cabildo secular of Arequipa_;_Consejo de Indias_;_[1595]_;_Arequipa_;__;_Madrid_;_The file is titled 'Memorial de las cosas en que la Ciudad de Arequipa suplica se le haga merced'. It summarises 12 requests made by the city to the King to mitigate its troubles. The petition is accompanied by a copy in which the requests are followed by the Viceroy's opinion_;_Spanish_;__;__;__;__;__
_M-1582-AE-0536_;_1582 Arequipa Earthquake_;_Seville, Archivo General de Indias, Lima 30, Cartas y expedientes de virreyes de Perú, n. 5_;_Enríquez de Almansa y Ulloa, Martín _;_Consejo de Indias_;_1582-03-23_;_Lima_;__;_Madrid_;_In a long report on various topics, the viceroy devotes half page to describe the damage caused by the earthquake in Arequipa and its surroundings: the number of victims (Indios, Blacks and Spaniards are counted separately), destruction of houses, churches and convents. Since the reconstruction of the churches will take time and effort, the officer notes that the inhabitants of Arequipa will be grateful if the King will make some donations, as a reward for their loyalty_;_Spanish_;__;__;__;__;_Inserire tag_
_M-1582-AE-05F1_;_1582 Arequipa Earthquake_;_Seville, Archivo General de Indias, Lima, 116, Cartas y expedientes de Arequipa_;_Alonso de Osorio_;_Consejo de Indias_;_1583-02_;_Arequipa_;__;__;_Brief though dramatic description of the damages caused by the earthquake, followed by the request that the sovereign, through the viceroy, help the city in its reconstruction_;_Spanish_;__;__;__;__;__
_M-1582-AE-05F2_;_1582 Arequipa Earthquake_;_Seville, Archivo General de Indias, Lima, 116, Cartas y expedientes de Arequipa_;_Mosquera, Sebastián de _;_Consejo de Indias_;_1584-04-01_;_Arequipa_;__;__;_The author, a tax collector, settled in Arequipa after the earthquake, the damage of which was underestimated by the viceroy at the time. The destroyed buildings have still not been rebuilt, and without a sharper reduction of taxes it will not be possible to undertake_;_Spanish_;__;__;__;__;__
_M-1582-AE-05F5_;_1582 Arequipa Earthquake_;_Archivum Romanum Societatis Iesu, Perù, 26_;_Unknown_;_Acquaviva, Claudio_;_[1600]_;_Lima_;__;_Rome_;_The anonymous author of the Jesuit chronicle dedicates two long passages to the earthquake. First, he describes in great detail the phenomenology of the natural event and its effects on the buildings and on the inhabitants of the area, especially the fears of the natives, then he reports the Jesuits' efforts to provide spiritual and material support to the Indians and Spaniards_;_Spanish_;__;__;_https://archive.org/details/historiagenerald01mate/page/n1/mode/2up_;__;__
_M-1582-AE-05F7_;_1582 Arequipa Earthquake_;_Archivum Romanum Societatis Iesu, [published in Monumenta Peruana, vol. III, 1581-1585]_;_Zúñiga, Diego de _;_Atienza, Juan de _;_1582-01-28 the author erroneously writes 1583_;_Arequipa_;__;_Lima_;_A detailed account of the earthquake_;_Spanish_;__;__;_https://babel.hathitrust.org/cgi/pt?id=mdp.39015012900000&view=1up&seq=1_;__;__
_M-1582-AE-05F8_;_1582 Arequipa Earthquake_;_Arequipa, Archivo Municipal, Lib. 7 de Cabildos, f. 155v [Published in V.M. BARRIGA, Los terremotos en Arequipa, 1951]_;_Cabildo secular of Arequipa_;__;_1582-02-01_;_Arequipa_;__;__;_The City Council sends commissioners to bring Indians from the provinces of Condesuyo, Collasuyo, Collaguas, and the coastal plains, to rebuild the city destroyed by the earthquake_;_Spanish_;__;__;__;__;__
_M-1582-AE-05F9_;_1582 Arequipa Earthquake_;_Arequipa, Archivo Municipal, Lib. 8 de Cabildos, f. 164 [Published in V.M. BARRIGA, Los terremotos en Arequipa, 1951]_;_Cabildo secular of Arequipa_;__;_1582-02-19_;_Arequipa_;__;__;_The City Council receives a provision from Viceroy Martin Enriquez, ordering an open Cabildo to be convened, to decide whether or not it is convenient to move the city to another place, due to the risk of earthquakes._;_Spanish_;__;__;__;__;__
_M-1582-AE-0663_;_1582 Arequipa Earthquake_;_Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584_;_Vázquez de Espinosa, Antonio_;__;_ca. 1628 It was finished around that time_;__;__;__;_On p. 470, the author connects the earthquake of 1582 with the year in which Saint Teresa of Jesus, founder of the order of the Discalced Carmelites to which he belongs, died. He adds that the earthquake struck the city of Arequipa and the surrounding area._;_Spanish_;__;_1575 Valdivia earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption;1619 Trujillo Earthquake_;_https://repository.si.edu/handle/10088/23742_;__;__
_M-1582-PE-060D_;_1582 Pozzuoli Earthquake_;_Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.100_;_Gerardo, Giulio_;_Senato of Venice_;_1582-04-16_;_Naples_;__;_Venice_;_The earthquake causes a lot of damage to buildings in the city. Residents leave their homes and start a religious procession._;_Italian_;__;__;__;_COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento_;__
_M-1582-PE-0682_;_1582 Pozzuoli Earthquake_;_Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.110_;_Gerardo, Giulio_;_Senato of Venice_;_1582-05-21_;_Naples_;__;_Venice_;_New earthquake tremors have been felt in Pozzuoli, often frightening residents. Several rumours referred to the comet, which had appeared over the previous four nights._;_Italian_;__;__;__;_INTERPRETAZIONE→Astri e magia_;__
_M-1582-PE-0683_;_1582 Pozzuoli Earthquake_;_Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.112_;_Gerardo, Giulio_;_Senato of Venice_;_1582-06-05_;_Naples_;__;_Venice_;_New earthquake in Pozzuolo damages houses, kills two women and makes the population evacuate. Seismic swarm felt reaching even Naples._;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1582-PE-0684_;_1582 Pozzuoli Earthquake_;_Rome, Biblioteca Apostolica Vaticana, Urbinati Latini, 1050, fols.219r-220r_;_Unknown_;_Rovere, Francesco Maria II della_;_1582-06-23_;_Rome_;__;_Urbino_;_From Naples came news of a great earthquake that struck the city and damaged Pozzuoli, in particular the SS. Annunziata's Hospitaland and the Franciscan church. _;_Italian_;__;__;__;_FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime_;__
_M-1586-AN-0385_;_1586 Antigua Earthquake_;_Seville, Archivo General de Indias, Guatemala, 41, n. 71_;_Cabildo secular of Santiago of Guatemala_;_Philip II_;_1587-05-06_;_Antigua_;__;_Court_;_Report on the Antigua earthquake_;_Spanish_;__;__;__;__;_Present-day Antigua was named Santiago_
_M-1586-LE-0386_;_1586 Lima Earthquake_;_Seville, Archivo General de Indias, Lima, 1, Consultas originales del Consejo, exp. 132_;_Consejo de Indias_;_Philip II_;_1595-07-08_;_Madrid_;__;_Madrid_;_Following an enquiry made by the Lima Audiencia in 1587, the damages caused by the earthquake have been assessed. The Audiencia suggests that the only way to support the reconstruction of the destroyed female Monasterio de la Encarnación is that the king allocates revenues to it. The Council of the Indes proposes to accept the request_;_Spanish_;__;__;__;__;__
