Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1539-AN-0376;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f. 7;Gómez Zagal, Alvar;Cobos, Francisco de los;1539-02-19;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;"M-1539-AN-0377 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);M-1539-AN-0378 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);M-1539-AN-0379 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to)";;;;Zagal courier, Bautista Constantino, is at court;;;;;;
M-1539-AN-0377;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f.8;Gómez Zagal, Alvar;Cobos, Francisco de los;1539-02-19;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court;;;;;;
M-1539-AN-0378;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f. 51;Gómez Zagal, Alvar;Charles V;1539-02-19;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court;;;;;;
M-1539-AN-0379;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f. 73;Gómez Zagal, Alvar;Charles V;1539-02-19;Annaba;;;Letter on Annaba's general reality, reference to Earthquake;Spanish;M-1539-AN-0376 / 1539 Annaba Earthquake / Letter on Annaba's general reality, reference to Earthquake (Very similar to);;;;Zagal courier, Bautista Constantino, is at court;;;;;;
M-1539-AN-037A;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 464, s.f;Gómez Zagal, Alvar;Cobos, Francisco de los;1539-02-28;Annaba;;;Report on the earthquake damages;Spanish;;;;;;;;;;;
M-1539-AN-037B;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 464, s.f;Gómez Zagal, Alvar;Charles V;1539-02-28;Annaba;;;Report on the earthquake damages;Spanish;;;;;;;;;;;
M-1539-AN-037C;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f. 75;Imperial court secretaries;Charles V;1539-04-14;Imperial court;;;Overview of news from Annaba;Spanish;;;;;;;;;;;
M-1539-AN-037D;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 467, f.22;Vaquer, Miguel;Charles V;1539-07-31;Messina;;;Information on his visit to Annaba;Spanish;;;;;;;;;;;
M-1539-AN-037E;1539 Annaba Earthquake;Archivo General de Simancas, Estado, 1114, f. 81;Vaquer, Miguel;Charles V;1540-12-22;Palermo;;;Latest news on Annaba, including Zagal's death;Spanish;;;;;;;;;;;
M-1542-ES-0681;1542 Eastern Sicily Earthquake;Simancas, Archivo General de Simancas, Secretarías de Estado, Sicilia, legajo 1116, fol. 6;Tagliavia d'Aragona, Giovanni;Consejo de Estado;1542-12-20;Palermo;;;In this report, sent to the Council of Emperor Charles V, the captain-general gives a very concise account of the serious damage suffered by buildings in about 40 locations.;Spanish;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Invocazione alla divinità;;;;;;;
M-1542-ES-0696;1542 Eastern Sicily Earthquake;Palermo, Archivio di Stato di Palermo, Segretari del regno, Ramo del protonotaro, Lettere, vol.30 (1546-1550);Gonzaga, Ferrante;Charles V;1546-05-10;Palermo;;Imperial court;The Viceroy warns that the association in the Prammatica between earthquake and sin is the cause of much unrest in the Kingdom. The Viceroy reiterates that the sovereign has already been informed of the natural nature of earthquakes.;Italian;;;;INTERPRETAZIONE→Aristotelismo/tomismo;;;;;;;
M-1542-ES-069C;1542 Eastern Sicily Earthquake;Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Bartolomeo Terranova, 1542-1545;Terranova, Bartolomeo;;1542-11-1542-12;Modica;;;Memory of the earthquake of 10 December 1542;Latin;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-069D;1542 Eastern Sicily Earthquake;Modica, Archivio di Stato di Ragusa, Sezione di Modica, Atti dei notai di Scicli, notaio Pietro Stornello, 1542;Stornello, Pietro;;1542;Modica;;;Memory of the earthquake of 10 December 1542;Latin;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-069E;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Archivio Gaetani Specchi, b.60, fasc.1;Unknown;;after 1693;Syracuse ;;;Written on taxation and baronial rights in the 18th century, which records how the public infrastructures had been damaged in the 1693 earthquake had also been previously destroyed in the 1542 earthquake and rebuilt by the Casa Baronale.;Italian;;1693 Eastern Sicily Earthquake;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1542-ES-069F;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Corporazioni Religiose Soppresse, Monastero della SS.Trinità di Lentini, Deduzioni da titoli autentici in giustificazione che il luogo sottoposto al Monastero della SS.Trinità alla parte di Tramontana, sia quello ove esisteva un tempo il monastero di S.;Unknown;;after 1800;Syracuse ;;;The 1542 earthquake destroyed the Santissima Trinità monastery, which was later rebuilt in another location.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-06A0;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.1, c.544;Gonzaga, Ferrante;Università of Syracuse;1543-04-18;Palermo;;Syracuse ;Royal order sent to the University of Syracuse concerning the reconstruction of the Cathedral bell tower destroyed by the earthquake.;;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1542-ES-06A2;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.22;Università of Syracuse;;1545-04-19;Syracuse ;;;The University of Syracuse decided to rebuild the bell tower of the Cathedral, which had collapsed in the earthquake of 10 December 1542, using half of the officers' salaries for three years. Since reconstruction requires a lotfor reconstruction, it was decided to extend the withholding of half of the officers' salaries for another three years.;Latin;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1542-ES-06A3;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.38;Gonzaga, Ferrante;Università of Syracuse;1545-05-20;Palermo;;Syracuse ;Royal Order sent to the University of Syracuse for the reconstruction of the Cathedral bell tower, the Arethusa fountain and the drinking trough destroyed by the earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;"Regesto del documento:&nbsp;Visto il consiglio dell’Università di Siracusa del 19 aprile 1545, in cui viene deliberata la somma necessaria per la
ricostruzione del campanile della Cattedrale crollato a causa del terremoto del 10 dicembre 1542, si ritiene tale
ricostruzione necessaria per il decoro della città e dei suoi cittadini. Considerata, inoltre, la necessità di ulteriore
denaro, si concede che venga prelevato dai salari degli ufficiali per altri tre anni, e che venga utilizzato per la
ricostruzione del campanile, della fontana aretusa e dell’abbeveratoio cittadino.";;;;;;
M-1542-ES-06A4;1542 Eastern Sicily Earthquake;Syracuse, Archivio di Stato di Siracusa, Senato di Siracusa, vol.2, c.59;Università of Syracuse;;1547-08-26;Syracuse ;;;The Università of Syracuse's petition for the reconstruction of the Cathedral bell tower destroyed by the earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1542-ES-06A5;1542 Eastern Sicily Earthquake;Caltagirone, Biblioteca Comunale E.Taranto' di Caltagirone, Liber privilegiorum capitulorum gratiarum immunitatum et consuetudinum civitatis gratissimae Calathaieronis, vol. 1, ff. 358-360';Silvestro, Gaspare de;"Bubei, Biagio; Albergini, Giacomo; Areni, Giovanni; Marcafava, Antonutto";1543-01-10;Caltagirone;;;Chronicle of the earthquake of 10 December 1542;Latin;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1542-ES-06A6;1542 Eastern Sicily Earthquake;Palermo, Biblioteca Comunale di Palermo, Manoscritti, Qq D 98, Diari palermitani, tomo 6, Diario palermitano di Valerio Rosso dal 1583 fino al 1603 e poi dal 1506 al 1603, copia 1670;Rosso, Valerio;;1583-1603 Copy 1670;Palermo;;;The chronicle of how the earthquake that hit the eastern part of Sicily was also felt in Palermo.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-06A7;1542 Eastern Sicily Earthquake;Naples, Biblioteca della Società Napoletana di Storia Patria, Fondo sismico, 7/A3, Colanello Pacca, Discorso del terremoto, 1563-1580, cc. DXLIII-DXLIIII;Pacca, Cola Anello;;1563-1580;Naples;;;Chronicle of the earthquake damage to the city of Lentini.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-06A8;1542 Eastern Sicily Earthquake;Messina, Biblioteca Regionale di Messina, Sala Rari, F.V. 94-96, Memorie istoriche di Sicilia, 3 voll, ms. sec.XVIII;Unknown;;after 1700;Messina;;;Memory of the earthquakes that afflicted the government of Viceroy Gonzaga, during which the fortifications in particular were damaged.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-06A9;1542 Eastern Sicily Earthquake;Acireale, Biblioteca Zelantea di Acireale, Manoscritti, III.C.7.29 (B.27), F. Sclafani, Compendio Historico di Sicilia;Sclafani, Francesco;;before 1647;Unknown;;;Memory of the 1542 earthquakes that damaged many buildings in the eastern cities of Sicily.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;;;
M-1542-ES-06AA;1542 Eastern Sicily Earthquake;Catania, Biblioteca Comunale di Catania;Unknown;;1515-1574 ed. 1902;Catania;;;Chronicle of the earthquakes that struck eastern Sicily in 1542, with particular attention to the destruction of religious buildings and the devotional reaction of the population.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1542-ES-06AC;1542 Eastern Sicily Earthquake;Jerusalem, The Jewish National and University Library, Epistolar collection KM 55;Ha-Cohen, Joseph ben Yehoshua;Ha-Cohen, Isaac;after 1542-12-10;;;;Report of the strong earthquake in Sicily, around Syracuse. It razed large and mighty buildings to the ground and turned them into lakes of water. The dead numbered around twenty thousand. The destruction was considered a divine punishment.;;;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;;;
M-1542-ES-06B5;1542 Eastern Sicily Earthquake;Unknown;Lacisio, Paolo;Amerbach, Bonifacius;1543-03-07;Strsbourg ;;Basel;The author reports that Sicily was shaken by an earthquake so great and so horrendous that the two famous cities of Catania and Syracuse were largely destroyed. Augusta, on the other hand, was almost submerged by the sea, along with countless unnamed towns.;Latin;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;https://core.ac.uk/download/pdf/33302043.pdf<br>https://storing.ingv.it/cfti/cfti5/pdf_T/003003-145051_T.pdf;;;;;;
M-1542-ES-06B7;1542 Eastern Sicily Earthquake;Palermo, Archivio di Stato di Palermo, Real cancelleria, vol.327 (1542-1543);Cardona, Alfonso;Moncada, Francesco;1542-12-27;Palermo;;;Appointment of Moncada as the city's vicar and captain of arms to lead the population back to Syracuse.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Recuperare il documento o una trascrizione di esso.;;;;;;
M-1557-PA-037F;1557 Palermo Flood;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-60, ff 160-161, 163;De Aragona Tagliavia, Carlo;Perrenot de Granvelle, Antoine;1557-10-08;Messina;1557-11-30;Brussels;Handwritten letter containing some concise news about Sicily and the actions undertaken by Ottoman flotillas, and a quick mention of the Palermo flood. Attached to the letter is a copy of a handwritten report, entitled Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', sent from Palermo to Carlo De Aragona on September 27';Italian;M-1557-PA-0380 / 1557 Palermo Flood / Handwritten report entitled Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', from Palermo. The report describes the event, the damages and the victims in a fairly aseptic but detailed manner (This document includes)';;;;;;;;;;
M-1557-PA-0380;1557 Palermo Flood;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-60, ff 160-163;Unknown;De Aragona Tagliavia, Carlo;1557-09-27;Palermo;;Messina;Handwritten report entitled Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', from Palermo. The report describes the event, the damages and the victims in a fairly aseptic but detailed manner';Italian;M-1557-PA-037F / 1557 Palermo Flood / Handwritten letter containing some concise news about Sicily and the actions undertaken by Ottoman flotillas, and a quick mention of the Palermo flood. Attached to the letter is a copy of a handwritten report, entitled Avviso del Diluvio successo nella Città di Palermo a XXVII di Settembre', sent from Palermo to Carlo De Aragona on September 27 (This document is included in)';;;;;;;;;;
M-1560-CA-0381;1560 Catalonia Earthquake;Arxiu Municipal de València, Pregones o crides, x.x-1, ff. 138v-139v;Cabildo of Valencia;;1560;Valencia;;;Municipal proclamation on procession against Catalan earthquake;Catalan;;;;;;;;;;;
M-1568-NG-0382;1568 New Galicia Earthquake;Seville, Archivo General de Indias, Guadalajara, 51, l. 1, n. 132, ff. 418v-419r;Ayala, Pedro de;Philip II;1568-03-09;Guadalajara;;;Report on the Northern frontier, including information on an earthquake;Spanish;;;;;;;;;;;
M-1570-FE-0383;1570 Ferrara Earthquake;Archivo General de Simancas, Estado, 1399, f. 118;Guzmán de Silva, Diego;Philip II;1570-12-14;Genoa;1571-01-02;Madrid;News on the Ferrara earthquake;Spanish;;;;;;;;;;;
M-1575-VL-0667;1575 Valdivia earthquake;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628 It was finished around that time;;;;On p. 475, the author claims that the earthquake caused a saw to fall into the course of the mighty Valdivia River. The event blocked the course of the river until it overflowed. It was so violent that once it flowed into the sea, it managed to push many ships that were near the port out to sea.;Spanish;;"1582 Arequipa Earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption;1619 Trujillo Earthquake";https://repository.si.edu/handle/10088/23742;;;;;;;;
M-1582-AE-0384;1582 Arequipa Earthquake;Seville, Archivo General de Indias, Lima, 111, Cartas y expedientes de varios cabildos seculares del distrito de la Audiencia de Lima;Cabildo secular of Arequipa;Consejo de Indias;[1595];Arequipa;;Madrid;The file is titled Memorial de las cosas en que la Ciudad de Arequipa suplica se le haga merced'. It summarises 12 requests made by the city to the King to mitigate its troubles. The petition is accompanied by a copy in which the requests are followed by the Viceroy's opinion';Spanish;;;;;;;;;;;
M-1582-AE-0536;1582 Arequipa Earthquake;Seville, Archivo General de Indias, Lima 30, Cartas y expedientes de virreyes de Perú, n. 5;Enríquez de Almansa y Ulloa, Martín ;Consejo de Indias;1582-03-23;Lima;;Madrid;In a long report on various topics, the viceroy devotes half page to describe the damage caused by the earthquake in Arequipa and its surroundings: the number of victims (Indios, Blacks and Spaniards are counted separately), destruction of houses, churches and convents. Since the reconstruction of the churches will take time and effort, the officer notes that the inhabitants of Arequipa will be grateful if the King will make some donations, as a reward for their loyalty;Spanish;;;;;Inserire tag;;;;;;
M-1582-AE-05F1;1582 Arequipa Earthquake;Seville, Archivo General de Indias, Lima, 116, Cartas y expedientes de Arequipa;Alonso de Osorio;Consejo de Indias;1583-02;Arequipa;;;Brief though dramatic description of the damages caused by the earthquake, followed by the request that the sovereign, through the viceroy, help the city in its reconstruction;Spanish;;;;;;;;;;;
M-1582-AE-05F2;1582 Arequipa Earthquake;Seville, Archivo General de Indias, Lima, 116, Cartas y expedientes de Arequipa;Mosquera, Sebastián de ;Consejo de Indias;1584-04-01;Arequipa;;;The author, a tax collector, settled in Arequipa after the earthquake, the damage of which was underestimated by the viceroy at the time. The destroyed buildings have still not been rebuilt, and without a sharper reduction of taxes it will not be possible to undertake;Spanish;;;;;;;;;;;
M-1582-AE-05F5;1582 Arequipa Earthquake;Archivum Romanum Societatis Iesu, Perù, 26;Unknown;Acquaviva, Claudio;[1600];Lima;;Rome;The anonymous author of the Jesuit chronicle dedicates two long passages to the earthquake. First, he describes in great detail the phenomenology of the natural event and its effects on the buildings and on the inhabitants of the area, especially the fears of the natives, then he reports the Jesuits' efforts to provide spiritual and material support to the Indians and Spaniards;Spanish;;;https://archive.org/details/historiagenerald01mate/page/n1/mode/2up;;;;;;;;
M-1582-AE-05F7;1582 Arequipa Earthquake;Archivum Romanum Societatis Iesu, [published in Monumenta Peruana, vol. III, 1581-1585];Zúñiga, Diego de ;Atienza, Juan de ;1582-01-28 the author erroneously writes 1583;Arequipa;;Lima;A detailed account of the earthquake;Spanish;;;https://babel.hathitrust.org/cgi/pt?id=mdp.39015012900000&view=1up&seq=1;;;;;;;;
M-1582-AE-05F8;1582 Arequipa Earthquake;Arequipa, Archivo Municipal, Lib. 7 de Cabildos, f. 155v [Published in V.M. BARRIGA, Los terremotos en Arequipa, 1951];Cabildo secular of Arequipa;;1582-02-01;Arequipa;;;The City Council sends commissioners to bring Indians from the provinces of Condesuyo, Collasuyo, Collaguas, and the coastal plains, to rebuild the city destroyed by the earthquake;Spanish;;;;;;;;;;;
M-1582-AE-05F9;1582 Arequipa Earthquake;Arequipa, Archivo Municipal, Lib. 8 de Cabildos, f. 164 [Published in V.M. BARRIGA, Los terremotos en Arequipa, 1951];Cabildo secular of Arequipa;;1582-02-19;Arequipa;;;The City Council receives a provision from Viceroy Martin Enriquez, ordering an open Cabildo to be convened, to decide whether or not it is convenient to move the city to another place, due to the risk of earthquakes.;Spanish;;;;;;;;;;;
M-1582-AE-0663;1582 Arequipa Earthquake;Rome, Biblioteca Apostolica Vaticana, Barb. Lat. 3584;Vázquez de Espinosa, Antonio;;ca. 1628 It was finished around that time;;;;On p. 470, the author connects the earthquake of 1582 with the year in which Saint Teresa of Jesus, founder of the order of the Discalced Carmelites to which he belongs, died. He adds that the earthquake struck the city of Arequipa and the surrounding area.;Spanish;;"1575 Valdivia earthquake;1586 Lima Earthquake;1600 Huaynaputina Eruption;1606 Momotombo Eruption;1619 Trujillo Earthquake";https://repository.si.edu/handle/10088/23742;;;;;;;;
M-1582-PE-060D;1582 Pozzuoli Earthquake;Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.100;Gerardo, Giulio;Senato of Venice;1582-04-16;Naples;;Venice;The earthquake causes a lot of damage to buildings in the city. Residents leave their homes and start a religious procession.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;;;
M-1582-PE-0682;1582 Pozzuoli Earthquake;Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.110;Gerardo, Giulio;Senato of Venice;1582-05-21;Naples;;Venice;New earthquake tremors have been felt in Pozzuoli, often frightening residents. Several rumours referred to the comet, which had appeared over the previous four nights.;Italian;;;;INTERPRETAZIONE→Astri e magia;;;;;;;
M-1582-PE-0683;1582 Pozzuoli Earthquake;Venice, Archivio di Stato di Venezia, Senato, Dispacci degli ambasciatori e residenti, Napoli, filza 5, n.112;Gerardo, Giulio;Senato of Venice;1582-06-05;Naples;;Venice;New earthquake in Pozzuolo damages houses, kills two women and makes the population evacuate. Seismic swarm felt reaching even Naples.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1582-PE-0684;1582 Pozzuoli Earthquake;Rome, Biblioteca Apostolica Vaticana, Urbinati Latini, 1050, fols.219r-220r;Unknown;Rovere, Francesco Maria II della;1582-06-23;Rome;;Urbino;From Naples came news of a great earthquake that struck the city and damaged Pozzuoli, in particular the SS. Annunziata's Hospitaland and the Franciscan church. ;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;;;
M-1586-AN-0385;1586 Antigua Earthquake;Seville, Archivo General de Indias, Guatemala, 41, n. 71;Cabildo secular of Santiago of Guatemala;Philip II;1587-05-06;Antigua;;Court;Report on the Antigua earthquake;Spanish;;;;;Present-day Antigua was named Santiago;;;;;;
M-1586-LE-0386;1586 Lima Earthquake;Seville, Archivo General de Indias, Lima, 1, Consultas originales del Consejo, exp. 132;Consejo de Indias;Philip II;1595-07-08;Madrid;;Madrid;Following an enquiry made by the Lima Audiencia in 1587, the damages caused by the earthquake have been assessed. The Audiencia suggests that the only way to support the reconstruction of the destroyed female Monasterio de la Encarnación is that the king allocates revenues to it. The Council of the Indes proposes to accept the request;Spanish;;;;;;;;;;;
M-1586-LE-0387;1586 Lima Earthquake;Seville, Archivo General de Indias, Lima, 108, Cartas y expedientes del Cabildo secular de Lima;Cabildo secular of Lima;Consejo de Indias;1586;Lima;;Madrid;A copy of the agreement made in Lima between various institutions to share the costs of reconstructing certain public, military and religious buildings;Spanish;;;;;;;;;;;
M-1586-LE-0388;1586 Lima Earthquake;Seville, Archivo General de Indias, Lima, 108, Cartas y expedientes del Cabildo secular de Lima;Cabildo secular of Lima;Consejo de Indias;1589-05-10;Lima;;Madrid;File titled (a posteriori) Memorial de lo que pide y suplica la Ciudad de los Reyes al Rey N.ro Señor'. The members of the Cabildo ask the sovereign to allow the city to levy a tax , in order to enable it to rebuild some public buildings';Spanish;;;;;Beyond the earthquake, the Cabildo mentions the damages caused by the frequent flooding of the nearby river;;;;;;
M-1586-LE-05FA;1586 Lima Earthquake;Seville, Archivo General de Indias, Patronato, 255, N. 3, G. 3, R. 4;Flores de Quiñones, Álvaro ;Consejo de Indias;;Cartagena de Indias;;Madrid;The officer of the fleet, who was in the port of Callao on the days of the earthquake, along with other news on the state of his fleet, reports that in the port of Callao the tidal wave had destroyed the merchandise stored there and the ships from New Spain;Spanish;;;;;;;;;;;
M-1586-LE-05FB;1586 Lima Earthquake;Seville, Archivo General de Indias, Patronato, 191, R. 6;;Consejo de Indias;1586-09-13;Panama;;Madrid;Panama authorities report that a ship, that left from Lima on 25 July and arrived in Panama, reports a tsunami in the port of Callao and damages in Lima;Spanish;;;;;;;;;;;
M-1586-LE-05FC;1586 Lima Earthquake;Seville, Archivo General de Indias, Lima, 31, Cartas y expedientes de virreyes de Perú;Torres y Portugal, D. Fernando de ;Consejo de Indias;1586-11-03;Lima;;Madrid;detailed report by the Viceroy on the earthquake. The viceroy was at the port of Callao, which was hit by a tsunami. Few days later he went back to Lima, where the buildings were seriously damaged, and settled in the convent of St. Francis, one of the few buildings not destroyed by the quake.;Spanish;;;;;;;;;;;
