Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes;;;;
P-1542-ES-069B;1542 Eastern Sicily Earthquake;Unknown;;Unknown;"Copia de una lettra che contiene li spaventosi &amp; horrendi Terremoti venuti ne la Isola di / Sicilia &amp; la gran rovina &amp; strage che han fatto in quella con danno grandissimo de paesani. / Questo terremoto fu adì XVII Decembrio MDXLII. ";P., M.;Venezia 1542;Venice;Copy of a letter describing the ruinous and disastrous outcomes of terrible earthquakes in Sicily. The local people react by showing religious devotion.;;1542;Italian;Prose;;;;;"Transcription of the manuscript by CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-052400_T.pdf";COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;
P-1542-ES-06AD;1542 Eastern Sicily Earthquake;Vita, Francesco;;;Innesto istorico della città d'Augusta negli annali de' Re di Sicilia;Gueriglio, Giovanni;Venezia, nella stamperia del Gueriglio, 1653;Venice;An unusual earthquake affected the city of Augusta and the neighbouring land of Melilli, of which the ruins of the castle destroyed by the event remain.;;1653;Italian;Prose;;;;;"Transcription of the text by CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-145174_T.pdf";TOPOI DELLA NARRAZIONE→Rovine;;;;;
P-1542-ES-06AF;1542 Eastern Sicily Earthquake;Maurolico, Francesco;Ad Serenissimum Hispaniæ Principem Carolum Philippi Regis Pontentissimi F. Avthoris Episola;;Sicanicarum rerum compendium Maurolyco abbate Siculo authore;Spira, Petruccio;Messina, impressit Petruccio Spira, 1562;Messina;At the end of November, or rather at the beginning of December, many buildings in Catania, Lentini, Licodia, Mineo, Licata and Agrigento collapsed due to a major earthquake.;;1562;Latin;Prose;841632;;;;;MEMORIA / PASSATO E PRESENTE→Cronologia dello stesso evento;;;;;
P-1542-ES-06B0;1542 Eastern Sicily Earthquake;Fazello, Tommaso;"D. Philippo Hispaniæ, Angliæ, Siciliæ &amp;c. Regi Potentissimo";Philip II;De rebus Siculis decades duae, nunc primum in lucem editae. His accessit totius operis index locupletissimus;"Carrara, Giovanni Francesco; Mayda, Giovanni Matteo";"Palermo, apud Giovanni Matteo Mayda &amp; Giovanni Francesco Carrara, 1558";Palermo;Description of the victims and the damage to religious buildings, fortresses and public structures that the earthquake caused to the various communities.;;1558;Latin;Prose;828896;;;;"Transcription of the manuscript by CFTI5Med in&nbsp;https://storing.ingv.it/cfti/cfti5/pdf_T/003003-050829_T.pdf";FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;
P-1542-ES-06B1;1542 Eastern Sicily Earthquake;Pirri, Rocco;;;Sicilia sacra disquisitionibus: et notitiis illustrata, ubi libris quatuor postquam de illius patriarcha, et metropolita disquisitum est, a christianae religionis exordio ad nostra usque tempora cuiusque praesularus explicantur;"Coppola, Pietro; Maringo, Giovanni Battista";Palermo, ex typographia Pietro Coppola, Giovanni Battista Maringo, 1643-1644;Palermo;Description of the victims and damage that the earthquake caused in Syracuse, and narration of the devotional expressions of the local population. The author makes the earthquakes begin on 5 August and end on 30 November.;;1643-1644;Latin;Prose;4014975;;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;Mongitore A., in Istoria cronologica de’ terremoti di Sicilia', in Id., 'Della Sicilia ricercata nelle;;;;
P-1542-ES-06B6;1542 Eastern Sicily Earthquake;Littara, Vincenzo;;;De rebus Netinis liber;De Franceschi, Giovanni Antonio;Palermo, apud Giovanni Antonio De Franceschi, 1593;Palermo;Narration of the destruction of Noto by the earthquake.;;1593;Latin;Prose;838268;;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;
P-1554-SL-0009;1554 Seville Fire (Guadalquivir);Hernández Campo, Alonso;;;La muy lamentable destruyción y espantoso fuego que se encendió en el río de Guadalquevir;Unknown;Unknown;Unknown;;;;Spanish;Verse;350089;Providence, John Carter Brown Library B554.H557m;;;;;;;;;
P-1554-SL-000A;1554 Seville Fire (Guadalquivir);Unknown;;;El grande incendio de fuego de las naos que se quemaron en la ribera de Guadarquivir de la muy noble y muy ciudad de Sevilla el qual fue muy terrible por acaecer de noche a veynte y un días de setie[m]bre;Unknown;Unknown;Unknown;;;[1554];Spanish;Verse;350455;Madrid, Biblioteca Nacional de España R/12175/8;;;;;Foto Schiano;;;;
P-1557-PA-000B;1557 Palermo Flood;Dorico, Valerio;;;Nuovo aviso del più horrendo et miserabil diluvio che sia in memoria d’huomo occorso avvenuto a li XXV di settembre M DL VII in Sicilia, et particolarmente ne la città di Palermo;Unknown;Si vendono alla chiavicha di S. Lucia;[Rome];;;[1557];Italian;Prose;803857;Rome, Biblioteca Casanatense VOL MISC.1927 16;https://books.google.fr/books?vid=IBCR:BC000021623&redir_esc=y;I-1557-PA-0224 / 1557 Palermo Flood / City View (This document includes); ;;USTC fornisce info sulla stampa, controlla https://www.ustc.ac.uk/editions/803857;;;;
P-1562-PI-000C;1562 Pico Island;"Díez, Diego; Rodríguez, Iuan; Morzillo, Pedro";Señores de la casa de la Contratación de Sevilla;Casa de Contratación;Relación muy verdadera Traída por Diego Díez y Iuan Rodríguez y Pedro Morzillo. Maestre y piloto y escribano del navío nōbrado Nuestra Señora dela luz. Viniendo de Sancto Domingo, y presentada en la ciudad de Cáliz (sic) y embiada por el muy magnífico señor Antonio de Avalia Iuez ofical (sic) de su Magestad a los muy magníficos Señores dela casa dela Cōtratación de Sevilla en la qual se trata del gran fuego y encēdio que a avido en una isla llamada el Pico que fue en veynte días del mes de setiembre del año de.m.d.lxij;de Coca, Alonso;Alonso de Coca;Seville;;;1562;Spanish;Prose;346404;Santiago de Chile, Biblioteca Nacional 55252055;;;;;Un altro esemplare è presente nella collezione della biblioteca di Juan Pérez de Guzmán y Boza duca de T'Serclaes de Tilly. Cfr. Il Catalogo di Gonzalo García (2018: 250-352);;;;
P-1570-FE-000D;1570 Ferrara Earthquake;Flores, Bartolomé de;;;Relación del espantable temblor y tempestad de rayos, que ahora ha sucedido en el mes de dnero próximo passado deste año de setenta y vno, en la ciudad de Ferrara e iuntamente como en Flandes se annegaron de una creciente ci¯et villas y lugares;Soto, Lorenzo de;Lorenzo de Soto;Martín Muñoz de las Posadas;;;1571;Spanish;Verse;336283;Madrid, Biblioteca Nacional de España R-31364/5;;;;;Foto Schiano;;;;
P-1575-PA-000E;1575 Palermo Plague;Ingrassia, Giovanni Filippo;;;Informatione del pestifero, et contagioso morbo: il quale affligge et have afflitto questa città di Palermo, & molte altre città, e terre di questo Regno di Sicilia, nell'anno 1575 et 1576, col regimento preservativo, & curativo, da Giovan Filippo Ingrassia;Mayda, Giovanni Matteo;appresso Giovanni Mattheo Mayda;Palermo;;;1576;Italian;Prose;836315;Palermo, Biblioteca Centrale della Regione Siciliana Alberto Bombace RARI SIC. 146.1;http://www.bibliotecacentraleregionesiciliana.it/rari_sic_145_3.pdf;"I-1575-PA-0225 / 1575 Palermo Plague / Allegory of Justice; Allegorical Scenes (This document includes)";;;;;;;
P-1581-PA-064A;1581 La Paz Earthquake;Acosta, José de;Dirigida a la Serenísima Infanta Doña Isabella / Clara Eugenia de Austria;Isabel Clara Eugenia de Austria;Historia natural y moral de las Indias;León, Juan de;En casa de Juan de León;Seville;Acosta mentions the destruction of the indigenous village of Angoango (near the city of La Paz), where sorcerers and idolaters lived, as a result of the earthquake.;;1590;Spanish;Prose;;Rome, Biblioteca Casanatense CCC K VI. 32;https://books.google.it/books?vid=IBCR:BC000019069&redir_esc=y&hl=it;;;;;;;;
P-1581-PA-064B;1581 La Paz Earthquake;Calancha, Antonio de la;Dedicada a nuestra señora / de Gracia, singular Patrona i Abogada de la dicha Orden;Virgin of Gracia;Coronica moralizada del orden de San Augustin en / el Peru con sucesos egenplares en esta Monarquia [...];Lacavalleria, Pedro;Por Pedro Lacavalleria, en la calle de la / Libreria;Barcelona;De la Calancha tells of the destruction of the indigenous people of Anco Anco, who were scorched by fire and swallowed by the earth (pp. 513-517). The phenomenon narrated was explained by José de Acosta in 1590 (Historia natural y moral de las Indias) as the result of an earthquake. De la Calancha adds a moralising dimension to the narrative: the Indians were victims of God's punishment as sodomites and idolaters.;;;Spanish;Prose;5008407;Seville, Biblioteca de la Universidad de Sevilla A 050/111;https://archive.org/details/A050111;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;
P-1581-PA-064C;1581 La Paz Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de los ermitaños de San / Agustin Nuestro Padre [...];Santos de Saldaña, Juan;En la imprenta de Iulian Santos de Saldaña;Lima;A p. 501, Torres refers to the impossibility of evangelising the Indians of the Anco Anco settlement. This forced Father Contreras to leave the doctrine in the hands of the bishop in 1567, and subsequently justified the divine punishment: the earth opened up and swallowed the village. In this way, Torres continues the moralising explanation of the disappearance of the village already applied by Father Antonio de la Calancha, the Augustinian chronicler who preceded him. In fact, Torres recalls that Maestro Calancha had already explained the event in detail. Previously, the Jesuit José de Acosta had attributed the disappearance of the Anco Anco village to an earthquake in 1581.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;
P-1581-PA-064E;1581 La Paz Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las / Espanas, y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de / Indias;Philip IV;Coronica de la religiosissima provincia de los doze apostoles del Peru, de la orden de N.P. S. Francisco  de la regular observancia [...];López de Herrera, Jorge;Por Jorge López Herrera;Lima;The Franciscan, like the Augustinian Antonio de la Calancha, narrates in a moral key the destruction of the indigenous village of Anco Anco (Ango Ango) by the earthquake of 1581 mentioned by José de Acosta in his Historia natural y moral de las Indias (Natural and Moral History of the Indies, 1590). The idolatrous and sorcerous Indians would have been punished for their refusal to convert, so the event should act as a reminder to stop their vices.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;
P-1582-AE-05F4;1582 Arequipa Earthquake;Acosta, José de;Dirigida a la Serenísima Infanta Doña Isabella Clara Eugenia de Austria;Isabel Clara Eugenia de Austria;Historia natural y moral de las Indias ;León, Juan de;En casa de Juan de León;Seville;;;1590;Spanish;Prose;;Rome, Biblioteca Casanatense CCC K.VI.32;https://books.google.it/books?vid=IBCR:BC000019069&redir_esc=y&hl=it;;;INTERPRETAZIONE→Aristotelismo/tomismo;;;;;
P-1582-AE-0641;1582 Arequipa Earthquake;Calancha, Antonio de la;Dedicada a nuestra / señora de Gracia, singular Patrona i Abogada de la dicha Orden;Virgin of Gracia;Coronica moralizada del orden de San Augustin en / el Peru con sucesos egenplares en esta Monarqvia [...];Lacavalleria, Pedro;Por Pedro Lacavalleria, en la calle de la Libreria;"Barcelona; Barcelona";The friar claims that the earthquake almost destroyed the city.;;1638;Spanish;Prose;5008407;Seville, Biblioteca de la Universidad de Sevilla A 050/111;https://archive.org/details/A050111;;;;;;;;
P-1582-PE-0685;1582 Pozzuoli Earthquake;Costo, Tommaso;All'illustriss. Signore il Sig. Don Scipione Pignatello Marchese di Lauro, e Signore della terra di Palma;Pignatelli, Scipione;Giunta di tre libri di Tomaso Costo. Al Compendio dell'istoria del regno di Napoli dal principio dell'anno MDLXIII insino alla fine dell'ottantasei;"Cappelli Giovanni Battista; Pelusio, Giuseppe";"Venezia, presso Giovanni Battista Cappelli &amp; Giuseppe Pelusio, 1588";Venice;An earthquake in May 1582 damaged many buildings and caused some casualties in Pozzuoli. The earthquake also damaged underground cisterns in Naples.;;1588;Italian;Prose;824413;;;;"This text also seems to be the source of the narratives of Jules-César Boulenger (Historiarum sui temporis libri tredecim quibus res toto orbe gestae ab anno 1560 ad annum usque sexcentesimum XII continentur, 1617), Mauritio de Gregorio (Commentari laconici o Endelechia, 1645), Rutilio Benincasa (Almanaccho perpetuo, 1626),&nbsp;and Marcello Bonito (Terra tremante, 1691).";FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;;;;;
P-1582-PE-068B;1582 Pozzuoli Earthquake;Minerva, Paolo;"Illustrissimo, ac reverendissimo D. Fr. Augustino Galamino S.R.E. Cardinali de Aracæli Nuncupato Ordinis Prædicatorum Episcopo Lauretano, &amp;c.";Galamini, Agostino;Praesagitura temporum seu De praecognoscendis temporum mutationibus;Vitale, Costantino;Napoli, ex typographia Costantino Vitale, 1620;Naples;The piety of the city of Naples towards the earthquake-affected city of Pozzuoli is expressed in the erection of a Capuchin temple in honour of St. Gennaro.;;1620;Latin;Prose;4001255;;;;Text quoted by Marcello Bonito, Terra tremante (1691).;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;
P-1582-PE-068C;1582 Pozzuoli Earthquake;Summonte, Giovanni Antonio;;;Historia della città e Regno di Napoli, di Gio. Antonio Summonte Napolitano;Carlino, Giovanni Giacomo;Napoli, appresso Giovanni Giacomo Carlino, 1601;Naples;The church of San Gennaro in Pozzuoli was erected thanks to funds granted by the deputies of the city of Naples. After the construction of this church, there were no more earthquakes.;;1601;Italian;Prose;4034129;;;;Text quoted by Marcello Bonito, Terra tremante (1691).;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;;;;;
P-1584-VA-000F;1584 Valencia Fire;Cordero, Iuan Martín;;;El suceso lamentable del fuego de Santa Catharina Mártyr, illustre parrochia de la ciudad de Valencia, que sucedió el Jueves santo, a las doze horas y media despues de medio día a los 29 de Março año de nuestro Señor 1584;Huete, Pedro de;en casa de la viuda de Pedro de Huete;Valencia;;;1586;Spanish;Verse;Null;A Coruña, Fonto María Cruz García de Enterria (SIELAE) GE/16.2/02;https://www.bidiso.es/CBDRS/upload/ejemplares/7313/digitalizado/201711171252__ge_4_16_2_2_4_02.pdf;;;;;;;;
P-1586-LE-062D;1586 Lima Earthquake;Córdoba y Salinas, Diego de;Dirigida a la Catolica Magestad de Don Felipe IIII N. S. rey potentissimo de las Españas, y Monarca invictissimo del Nuovo Orbe, en su Real y Supremo Consejo de las Indias;Philip IV;Coronica de la religiosissima provincia de los doze apostoles del Peru, de la orden de N.P. S. Francisco  de la regular observancia [...];López de Herrera, Jorge;Por Jorge Lopez de Herrera;Lima;It generally takes up the information provided by José de Acosta in Historia Natural y Moral de las Indias (1590), although there are some additions and absences.  It recounts the loud warning noise that occurred before the earthquake that alerted people. Few people died even though the earthquake also caused a tsunami, as happened in Chile. On this occasion, Lima decided to name the Visitation of the Virgin to her cousin Saint Isabel as patron saint. From then on, a mass, sermon and procession take place every year on 2 July.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;P-1586-LE-0635 / 1586 Lima Earthquake / Historia natural y moral de las Indias (Very similar to);;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;;;;;
P-1586-LE-0635;1586 Lima Earthquake;Acosta, José de;Dirigida a la Serenísima Infanta Doña Isabella Clara / Eugenia de Austria;Isabel Clara Eugenia de Austria;Historia natural y moral de las Indias;León, Juan de;En casa de Juan de León;Seville;Acosta recounts the range of the earthquake and states that this information was facilitated by the viceroy. According to Acosta, 14 or 20 people died.;;1590;Spanish;Prose;;Rome, Biblioteca Casanatense CCC K.VI. 32;https://books.google.it/books?vid=IBCR:BC000019069&redir_esc=y&hl=it;"P-1586-LE-062D / 1586 Lima Earthquake / Coronica de la religiosissima provincia de los doze apostoles del Peru, de la orden de N.P. S. Francisco&nbsp; de la regular observancia [...] (Very similar to)";;;;;;;
P-1589-CO-05FF;1589 Cordova Flood;Centeno, Amaro;;;Famoso romance que trata.....poi ci torno;Galván, Diego;En casa de Diego....poi ci torno;Cordoba;;;1589;Spanish;Verse;;Madrid, Biblioteca Nacional de España VE/1426/12;;I-1589-CO-0517 / 1589 Cordova Flood / View of flooded city (This document includes);;COMUNITÀ/ EFFETTI SOCIALI→Attenzione/compassione per le vittime;;;;;
P-1589-PA-0010;1589 Pastrana Flood;Ramírez, Marco Antonio;;;Relación muy verdadera del diluvio y gran daño que vino en la villa de Pastrana día del glorioso y bienaventurado San Augustín, lunes veinte y ocho de agosto, deste presente año de mil y quinientos y ochenta y nueve, compuestas por el licenciado Marco Antonio Ramírez;Fernández, Diego;Impressas con licencia del Vicario general de Alcalá, y aora por Diego Fernández de Cordoba impressor en Valladolid;Valladolid;;;1589;Spanish;Verse;349356;Madrid, Biblioteca Nacional de España R/35407;;"I-1589-PA-0227 / 1589 Pastrana Flood / T and O map (Orbis Terrarum); Lamentation of Christ (This document includes)";;;Foto GS;;;;
P-1593-BI-0011;1593 Bilbao Flood;Mongastón, Juan de;;;El espantoso y doloroso diluvio que en la villa de Bilbao ha succedido con los demás pueblos comarcanos, en este año de 1593;Cole de Ibarra, Pedro;por Pedro Cole de Ibarre;Bilbao;;;[1593];Spanish;Verse;337560;Madrid, Biblioteca Nacional de España R/9476;;;;;Foto Schiano;;;;
P-1597-CU-0012;1597 Cuenca Earthquake;Godoy, Juan de;;;Relación muy verdadera donde se trata la gran tempestad y torromoto que vino a la ciudad de Cuenca, este año de noventa y siete, a nueve días de mayo, viernes a las diez de la noche. Trata como se vieron grandes relámpagos y truenos temerosos, donde cayó un rayo sobre la torre del ángel de la iglesia mayor, y quemó algunas cosas, por donde se alborotó la ciudad, y fueron al socorro del fuego, por mandado de don Pedro de Mẽdoça y del corregidor don Diego de Vargas;Lara, Fernando de;en casa de Fernando de Lara;"Seville; Cuenca; Carlos del Castillo";;"Cuenca;Carlos del Castillo";1597;Spanish;Verse;345372;Cambridge (USA), Houghton Library, Harvard University SC5 A100 B595p2 Film Mas H510.2 Master Microforms;;;"Riproduzione facsimilare in  Los pliegos sueltos de Thomas Croft (siglo XVI) Croft, Thomas ; Cátedra, Pedro Manuel ; Infantes, Victor Valencia : Albatros ediciones ; 1983 (Disponibile in BRAU)";;Il pliego include anche un romance di materia cidiana;;;;
P-1597-VA-0013;1597 Valladolid Flood;Pinciano Hurtado, Francisco;;;Relación verdadera de los daños que hizo la creciente del río Pisuerga, en la ciudad de Valladolid. Compuesto por Francisco Hurtado Pinciano. Con dos romances del sucesso de Salamaca, y çamora. Con licencia del señor corregidor;Junta, Felipe  de;Felipe de Junta por Juan Bautista Varesio;Burgos;;;[1597];Spanish;Verse;339181;Madrid, Biblioteca Nacional de España R/4459;;I-1597-VA-0228 / 1597 Valladolid Flood / Crucifixion (This document includes);In allegato anche un romance su un'inondazione del Tormes dello stesso anno;;Foto GS;;;;
P-1599-LO-0014;1599 Logroño Plague;Unknown;;;Relación de lo sucedido con la enfermedad de la peste, que en la noble y leal ciudad de Logroño ha habido, siendo corregidor don Francisco de Moscoso, caballero del hábito de Santiago, y capitán general de las fronteras de Navarra;Mongastón, Juan  de;por Iuan de Mongastón;Logroño;;;1599;Spanish;Verse;338845;Madrid, Biblioteca Nacional de España R/9466;;I-1599-LO-0229 / 1599 Logroño Plague / Barnabas The Apostle (This document includes);;;Foto GS;;;;
P-1600-HU-0642;1600 Huaynaputina Eruption;Calancha, Antonio de la;Dedicada a nuestra señora / de Gracia, singular Patrona i Abogada de la dicha Orden;Virgin of Gracia;Coronica moralizada del orden de San Augustin en el Peru con sucesos egenplares en esta Monarqvia [...];Lacavalleria, Pedro;Por Pedro Lacavalleria, en la calle de la / Libreria;Barcelona;The friar announces that strange things were seen during the eruption, but announces that he will return to the portents later, when he will talk about the year in which the eruption took place (p. 685).;;1638;Spanish;Prose;5008407;Seville, Biblioteca de la Universidad de Sevilla A 050/111;https://archive.org/details/A050111;;;;;;;;
P-1600-HU-0648;1600 Huaynaputina Eruption;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la / provincia peruana de la orden de los ermitaños de San Agustin Nuestro Padre [...];Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;The description of the eruption of Huaynaputina occupies pages 73-80 of the Augustinian work. Torres attributes the eruption to the sins of Arequipa and recalls that already in the past the inhabitants had suffered the wrath of God with the earthquake of 1587. He reflects on the causes of the event, which, having occurred during the rainy season, should have led him to believe that the cause was not natural but divine. He also mentions how some preachers, such as the Jesuit Alonso Ruiz, had prophesied God's imminent punishment. On the disaster, he says he consulted the texts of the Jesuit Martín del Río, Juan Solórzano Pereira and Antonio de la Calancha. The author describes the phases of the calamity and how the noise generated by the eruption was mistaken by the viceroy for a naval battle with English pirates. Of particular note is the definition of Huaynaputina as an Indian Vesuvius'. The work of the Society of Jesus and the Augustinians in assisting the population is particularly noteworthy.';;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;;;;;
